id,is_trusted_contributor,creator
1563325,true,davidsk
1563343,true,sfhowes
1563344,false,bordeauxrouge
1563357,true,davidsk
1563358,true,Mapenzi
1563404,true,rednoise
1563431,true,davidsk
1563435,true,davidsk
1563441,true,Mapenzi
1563459,true,sfhowes
1563475,true,sfhowes
1563485,true,sfhowes
1563497,true,siffemoz
1563524,true,@next
1563536,true,sfhowes
1563551,true,markh2
1563562,true,James
1563569,false,Abubakar.mohammed552025
1563576,true,Toad-Hall
1563577,true,@next
1563586,true,rednoise
1563587,true,@next
1563589,true,MattAuSupport
1563599,true,davidsk
1563603,true,davidsk
1563606,true,davidsk
1563610,true,rednoise
1563619,true,MattAuSupport
1563638,true,rednoise
1563655,true,MattAuSupport
1563662,true,davidsk
1563671,true,davidsk
1563688,true,davidsk
1563692,true,rednoise
1563713,true,davidsk
1563723,true,Mapenzi
1563734,true,davidsk
1563748,true,siffemoz
1563758,true,Mapenzi
1563762,true,christ1
1563773,true,rednoise
1563781,true,christ1
1563791,true,Mapenzi
1563798,true,rednoise
1563812,true,markh2
1563820,true,rednoise
1563834,true,rednoise
1563835,true,sfhowes
1563837,true,davidsk
1563841,true,poljos-moz
1563848,true,sfhowes
1563861,true,sfhowes
1563877,true,davidsk
1563889,true,MattAuSupport
1563890,true,MattAuSupport
1563910,true,sfhowes
1563918,true,@next
1563919,true,@next
1563922,true,davidsk
1563933,true,MattAuSupport
1563941,true,markh2
1563945,true,Mapenzi
1563950,true,@next
1563953,true,MattAuSupport
1563957,true,pcp04
1563987,true,davidsk
1563996,true,Mapenzi
1563998,true,christ1
1564001,true,Mapenzi
1564028,true,Toad-Hall
1564042,true,Mapenzi
1564056,true,Mapenzi
1564066,true,Mapenzi
1564067,true,sfhowes
1564080,true,markh2
1564087,true,Toad-Hall
1564112,true,MattAuSupport
1564113,true,christ1
1564116,true,Mapenzi
1564138,true,MattAuSupport
1564158,true,davidsk
1564158,true,davidsk
1564160,true,christ1
1564160,true,christ1
1564161,true,MattAuSupport
1564161,true,MattAuSupport
1564163,true,davidsk
1564163,true,davidsk
1564200,true,James
1564200,true,James
1564203,true,siffemoz
1564203,true,siffemoz
1564209,true,davidsk
1564209,true,davidsk
1564210,true,Mapenzi
1564210,true,Mapenzi
1564220,true,davidsk
1564229,true,davidsk
1564233,true,sfhowes
1564241,true,davidsk
1564244,true,davidsk
1564271,false,k-l-p
1564298,true,sfhowes
1564299,true,sfhowes
1564301,true,Agentvirtuel
1564303,true,markh2
1564314,true,davidsk
1564330,false,Lisa
1564337,true,MattAuSupport
1564339,true,sfhowes
1564340,true,christ1
1564346,true,MattAuSupport
1564352,true,siffemoz
1564354,true,davidsk
1564359,true,sfhowes
1564370,false,antifascist
1564371,true,MattAuSupport
1564375,true,sfhowes
1564378,true,davidsk
1564385,true,rednoise
1564398,true,sfhowes
1564405,false,antifascist
1564413,true,MattAuSupport
1564418,false,antifascist
1564424,true,MattAuSupport
1564427,true,MattAuSupport
1564452,true,MattAuSupport
1564458,true,MattAuSupport
1564460,true,christ1
1564475,true,MattAuSupport
1564520,true,davidsk
1564523,false,Miran.H
1564585,true,siffemoz
1564612,true,wsmwk
1564636,true,Mapenzi
1564665,true,davidsk
1564666,true,davidsk
1564668,true,Agentvirtuel
1564675,true,pcp04
1564677,true,Mapenzi
1564700,true,davidsk
1564707,true,MattAuSupport
1564708,true,James
1564714,true,MattAuSupport
1564715,true,Toad-Hall
1564733,true,MattAuSupport
1564754,true,siffemoz
1564758,true,wsmwk
1564765,true,markh2
1564770,true,Googlethunderbird.
1564784,true,davidsk
1564812,true,christ1
1564826,false,Purebeads
1564840,true,siffemoz
1564842,true,sfhowes
1564846,true,davidsk
1564869,true,wsmwk
1564875,true,davidsk
1564903,true,davidsk
1564906,true,sfhowes
1564912,true,davidsk
1564917,false,wxie2016
1564920,true,sfhowes
1564926,true,MattAuSupport
1564946,true,davidsk
1564955,true,davidsk
1564959,true,Mapenzi
1564977,true,siffemoz
1564992,false,helpemailtales1
1564994,true,markh2
1564996,true,davidsk
1565009,true,Mapenzi
1565027,true,davidsk
1565036,true,davidsk
1565040,true,sfhowes
1565044,true,siffemoz
1565050,true,davidsk
1565061,true,davidsk
1565079,true,davidsk
1565085,true,sfhowes
1565095,true,Mapenzi
1565096,true,davidsk
1565098,true,siffemoz
1565108,true,davidsk
1565109,true,davidsk
1565111,true,davidsk
1565119,true,siffemoz
1565121,true,siffemoz
1565123,true,davidsk
1565135,true,wsmwk
1565160,true,davidsk
1565163,true,davidsk
1565165,true,sfhowes
1565171,true,davidsk
1565185,true,Mozilla-assistent
1565212,true,davidsk
1565216,true,davidsk
1565223,true,Toad-Hall
1565236,true,davidsk
1565240,true,Mapenzi
1565246,true,sfhowes
1565264,true,davidsk
1565288,true,siffemoz
1565296,true,davidsk
1565307,true,rednoise
1565308,true,davidsk
1565309,true,davidsk
1565312,true,Mapenzi
1565343,true,davidsk
1565377,true,Mozilla-assistent
1565378,true,sfhowes
1565387,true,siffemoz
1565414,true,siffemoz
1565416,true,@next
1565425,true,Mapenzi
1565429,true,wsmwk
1565436,true,Mapenzi
1565443,true,rednoise
1565447,false,Miran.H
1565449,true,rednoise
1565452,true,rednoise
1565454,true,siffemoz
1565456,true,rednoise
1565460,true,rednoise
1565485,true,Toad-Hall
1565487,false,Miran.H
1565495,true,wsmwk
1565497,true,wsmwk
1565499,true,siffemoz
1565511,true,pcp04
1565538,true,davidsk
1565547,true,davidsk
1565555,true,davidsk
1565567,true,wsmwk
1565570,true,davidsk
1565572,true,davidsk
1565581,true,@next
1565593,true,davidsk
1565598,true,davidsk
1565610,true,markh2
1565616,true,@next
1565620,true,sfhowes
1565624,true,siffemoz
1565626,false,platform34
1565646,true,davidsk
1565653,true,rednoise
1565662,true,rednoise
1565684,true,Mad_Maks
1565691,true,davidsk
1565695,true,davidsk
1565710,true,wsmwk
1565719,true,davidsk
1565720,true,davidsk
1565722,true,davidsk
1565735,true,christ1
1565741,true,rednoise
1565748,true,wsmwk
1565754,true,@next
1565756,true,sfhowes
1565760,true,markh2
1565766,true,pcp04
1565772,true,@next
1565815,true,wsmwk
1565836,true,Googlethunderbird.
1565870,true,Ansamb
1565876,true,Mapenzi
1565880,true,Toad-Hall
1565881,true,wsmwk
1565885,true,davidsk
1565889,true,sfhowes
1565914,true,James
1565915,true,markh2
1565919,true,MattAuSupport
1565926,true,markh2
1565937,true,siffemoz
1565947,true,davidsk
1565960,true,davidsk
1565973,true,davidsk
1565980,true,davidsk
1565986,true,davidsk
1565987,true,pcp04
1566002,true,markh2
1566003,true,davidsk
1566007,true,davidsk
1566025,true,davidsk
1566049,true,davidsk
1566053,true,wsmwk
1566056,true,davidsk
1566057,true,Mapenzi
1566078,true,@next
1566080,true,@next
1566083,true,Mapenzi
1566102,true,wsmwk
1566118,true,Mapenzi
1566130,true,rednoise
1566132,true,wsmwk
1566133,true,rednoise
1566139,true,davidsk
1566141,true,siffemoz
1566147,true,MattAuSupport
1566153,true,rednoise
1566154,true,Mapenzi
1566181,true,@next
1566193,true,pcp04
1566194,true,davidsk
1566195,true,sfhowes
1566203,true,davidsk
1566216,true,sfhowes
1566222,true,sfhowes
1566242,true,Mozilla-assistent
1566244,true,davidsk
1566245,true,davidsk
1566247,true,Toad-Hall
1566250,true,sfhowes
1566262,true,sfhowes
1566263,true,pcp04
1566274,true,Mapenzi
1566297,true,sfhowes
1566298,true,Mapenzi
1566316,true,Mapenzi
1566319,true,Toad-Hall
1566327,true,davidsk
1566339,true,davidsk
1566391,true,davidsk
1566397,true,Mapenzi
1566414,true,@next
1566426,true,Mapenzi
1566431,true,rednoise
1566434,true,rednoise
1566439,true,davidsk
1566442,true,rednoise
1566447,true,davidsk
1566455,true,davidsk
1566484,true,davidsk
1566522,true,MattAuSupport
1566540,true,Mapenzi
1566565,true,davidsk
1566571,true,davidsk
1566587,true,Mapenzi
1566601,true,@next
1566616,true,davidsk
1566622,true,MattAuSupport
1566629,true,maxcoder
