id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1802992,1568322,2026-02-28 19:33:57 -0800,2026-02-28 19:33:57 -0800,"<p>Mozilla connect is the best place to raise your ideas where the community can then vote for them. </p><p><a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed</a> </p><p>Maybe you can add some clarity on how you're getting to the position where ""unundisclosed-recipients"" is displayed. What are the two use cases your distinguishing between and what would you like to see displayed? </p><p>The closest I could get to replicating this was by sending an email with recipient addresses placed only in the bcc field (blind copy). Nothing being entered in the ""To"" or ""CC"" fields. Looking at the same email in the sent items folder displayed unknown recipient. </p>",platform34,False,0,0
1803059,1568394,2026-03-01 02:13:24 -0800,2026-03-01 02:13:24 -0800,"<p>Greetings, </p><p>I fixed ended up Deleted cookies in TB Settings. Staff can delete this ticket Thank You  </p><p>Regards, Marko </p>",dabonz1965,False,0,0
1803210,1568431,2026-03-01 20:54:50 -0800,2026-03-01 20:54:50 -0800,"<p>There's a number of routes to set the ring tone. </p><p><strong>via Thunderbird app settings</strong> </p><p>1a. Nagivate to settings &gt; account &gt; notifications 1b. Click new mail ringtone. Assign a tone </p><p>2a. Nagivate to settings &gt; account &gt; notifications 2b. Click ""messages"" under <em>Notification Categories</em> header 2c. Click ""ring"" and choose a tone </p><p><strong>via Android settings</strong> </p><p>3a. Navigate to Android settings &gt; apps 3b. Click Thunderbird app 3c. Click manage notifications 3d. Click ""messages"" under email account header 3e. Click ""Ring"" and assign a tone. </p>",platform34,False,0,0
1803233,1568460,2026-03-01 23:09:08 -0800,2026-03-01 23:38:25 -0800,"<p>Do you have a large number of messages within your inbox (&gt;500) or many email accounts. The app is known to slow down in such conditions. </p><p>The developers are refactoring the message list which may help once released. See the below links for released issue reports. </p><p><a href=""https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3810077139"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3810077139</a> <a href=""https://github.com/thunderbird/thunderbird-android/issues/10409#issuecomment-3811149422"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10409#issuecomment-3811149422</a> <a href=""https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3778691141"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3778691141</a> </p><p>Do you have the feature enabled to use recipient names from your Android contacts app. Does performance improve if you disable this? </p>",platform34,False,0,0
1803269,1568570,2026-03-02 05:13:44 -0800,2026-03-02 05:13:44 -0800,"<p>I have moved your question to the Android forum.  To reach this forum click ""View all forums"" or use the direct link <a href=""https://support.mozilla.org/en-US/questions/new/thunderbird-android"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/new/thunderbird-android</a> </p>",wsmwk,False,0,0
1803733,1568631,2026-03-04 07:52:45 -0800,2026-03-04 07:52:45 -0800,"<p>Hi Willie </p><p>Can you clarify which button you mean?  </p><p>The only button with a blue highlight in the upper left, represents the selected account. </p><p>a. You can swipe left or back to close the account or folder list. b. Select a different account. c. Press the up/down arrow to toggle between the account and folder list.  </p><p>Did you mean the blue message compose button (bottom right)? Is the issue still present after restarting the phone or terminating TBA via the recent app list? </p>",platform34,False,0,0
1803459,1568648,2026-03-02 23:21:56 -0800,2026-03-02 23:21:56 -0800,"<p>The point your raising is unclear, please clarify.  What barrier is stopping you changing the sort order, moving or deleting the emails at the top of the list? </p>",platform34,False,0,0
1803500,1568760,2026-03-03 07:56:10 -0800,2026-03-03 07:56:10 -0800,"<p>Thanks, Lin, but I think this refers to the desktop version. When setting up, in the Android version, 0Auth2 doesn't appear, in the Authentication method box. (And, as far as I can see, the server settings pages can only be accessed on setting up the account, rather than being tweakable, afterwards, as in the desktop version. I could be wrong, here.) </p><p>If you try to clone already set up desktop settings (QR code etc) then the Android version ends up as IMAP. </p><p>I'd be delighted to learn that I've misunderstood something.  </p><p>Cheers </p>",Luddite,False,0,0
1803768,1568760,2026-03-04 12:07:11 -0800,2026-03-04 12:07:11 -0800,"<p>Very many thanks, Platform34. By chance, I had stumbled upon App Passwords, last night, but thought it might be out of date. Your post reassured.  </p><p>I've now tried it and, while it appeared to work, fear I've misunderstood something or done something stupid. Testing shows the following, with two mobile devices and one desktop device. </p><p>1. Email appears to send OK 2. Once email has been received on any of the devices, it won't appear on either of the others, even if it hasn't been opened or deleted.  </p><p>To my, admittedly untrained, eye, this looks more like exaggerated IMAP behaviour than the POP behaviour I was seeking. On desktop, I've set ""delete from server"" to 30 days, so I don't think it's that. </p><p>Have I done something silly? </p>",Luddite,False,0,0
1803592,1568760,2026-03-03 16:11:27 -0800,2026-03-03 16:11:27 -0800,"<p>Oops, you're right, I totally glossed over the Android part of your question. I don't use Thunderbird for Android, but I used to use K-9 Mail, which you probably know is what Tbird Android is based upon. I'm sure it's changed since then, but I do remember that all server settings were available to be edited, but some of them were buried in there in hard-to-find places. </p>",rednoise,False,0,0
