tags,count
thunderbird,899
send-and-receive-email,240
windows-11,146
customization,91
email-and-messaging,91
passwords-and-sign-in,60
windows-10,52
account-management,42
needsinfo,41
import-and-export-email,38
junk-mail-and-spam,38
app-crash,27
contacts,24
connectivity,23
install,21
profiles,18
windows,18
crashing-and-slow-performance,16
extensions,14
reset-passwords,14
events,14
attachments,13
calendar,13
import-and-export-settings,12
accounts,12
accessibility,9
encryption,9
settings,9
update,9
undefined,8
firefox-1470,8
search,7
languages,5
save-passwords,5
windows11,5
performance-and-connectivity,4
security,4
android,3
windows-7,3
ubuntu,3
firefox-14701,3
privacy-and-security_1,2
mac-os-x-1013,2
installation-and-updates,2
windows10,2
macos,2
tags,2
mac-os,2
linux,2
firefox-14702,2
firefox-14601,1
firefox-1460,1
firefox-1150,1
microsoft,1
yahoo,1
windows-81,1
search-tag-and-share,1
instant-messaging,1
autofill,1
mac-os-x-1015,1
offtopic,1
