id,discovered_theme,category,severity,root_cause_hypothesis,supporting_quote,is_new_or_notable,created_date,is_solved,solved_by,has_solution,last_answer_trusted,has_trusted_answer,n_answers,n_creator_answers
1584936,POP3 client sends non-standard commands to custom test server,send-receive,2,"Thunderbird's POP3 implementation likely uses optional extensions (CAPA, UIDL, etc.) that the user's minimal test server doesn't support, rather than a true standards violation.",seem to send some unstandard commands to the server causing an error,False,2026-06-01,False,,False,True,True,2,0
1585005,App crashes when attaching files while replying to email,attachments,4,A bug in the reply-compose flow's attachment handling on certain Android devices causes an unhandled exception and crash.,"I have tried several time to attach files or photos, but the app will be closed automatically",True,2026-06-01,False,,False,True,True,1,0
1585012,Search function not working in Android app,search-folders,3,Server-side/local search may be unimplemented or broken in the current Thunderbird Android release.,the search function doesn't work at all,True,2026-06-01,False,,False,False,False,0,0
1585253,Cannot create IMAP folders in Android app,search-folders,2,Folder creation is not yet implemented in Thunderbird for Android; folders must be created via webmail.,How do I create a new Inbox subfolder in Android app?,False,2026-06-02,False,,False,False,True,3,0
1585582,Emails require deleting twice to remove from inbox,send-receive,3,"Likely a trash/deleted-folder configuration where delete moves to trash within the same view, or a mailbox setting causing two-step deletion.","jeg sletter dem ikke bare en gang, men to gange, før de væk fra indbakken",False,2026-06-04,False,,False,False,False,0,0
1585607,Confusion between app password and app lock/master password,account-login,2,User conflates provider-side app passwords with a device app-lock feature that isn't yet available on Android.,i was expecting the android app to provide a master password just like the PC version does,False,2026-06-04,False,,False,True,True,3,1
1585622,Finding starred/flagged emails,search-folders,1,"How-to question; user needed to sort by starred, no defect.",How do I find a letter marked with a star?,False,2026-06-04,False,,False,True,True,2,1
1585727,Local folders from desktop not accessible on Android,sync-oauth,2,"Local folders exist only on desktop with no server copy, so the mobile app which only syncs server data cannot access them.",am I somehow able to access my local folders that my son set up on my desktop,False,2026-06-05,True,platform34,True,False,True,2,1
1585920,Android app stopped receiving emails without error,send-receive,4,Possible background sync being killed by OS or a silent connection/auth failure; needs logs to confirm.,Thunderbird has stopped receiving emails,True,2026-06-06,False,,False,False,False,0,0
1586099,Scheduled background sync stops after a few intervals,sync-oauth,3,Android OS battery/background restrictions or a WorkManager scheduling issue prevents periodic sync from continuing reliably.,"The first few syncs were working correctly (around 3), then I'm just able to sync manually",True,2026-06-07,False,,False,False,False,2,1
1586173,"Thunderbird not working, unspecified failure",other,3,"Insufficient information provided; could be send/receive, login, or startup failure requiring diagnostic details.",My thunderbird mail dont vork,False,2026-06-08,True,latifosacur993,True,False,False,1,0
1586359,Older POP3 emails missing after import to Android app,migration-import,3,Desktop account uses POP3 so old emails stored locally aren't on server and can't sync to the Android app which only fetches server-side messages.,"existing messages are not appearing, only new ones",False,2026-06-09,False,,False,True,True,1,0
1586399,Cannot create IMAP folders in Android app,search-folders,2,Thunderbird for Android lacks in-app folder creation; folders must be created via webmail and refreshed.,How do I create a folder within the emails to move certain emails to it,False,2026-06-09,True,platform34,True,True,True,1,0
1586400,Android app no new-mail notifications despite sync,sync-oauth,2,Per-account notification settings were disabled; notifications must be enabled individually for each account.,"It already sync, but it never shows the notification",False,2026-06-09,False,,False,True,True,9,5
1586424,No notification sound for sent emails on Android,send-receive,1,"The 'include outgoing email' notification toggle exists but does not fire notifications, a likely bug.",Just wondering if there's a notification sound after an email has been sent,True,2026-06-09,False,,False,True,True,1,0
1586474,"Android app not syncing all IMAP emails, especially already-read ones",sync-oauth,4,Sync inconsistency with Ionos IMAP where messages opened on desktop or sent items fail to appear on mobile until forced server-side action.,Doing so seems to make the emails invisible to Anroid Thunderbird,True,2026-06-09,False,,False,True,True,1,0
1586580,Unified inbox not displaying until restart,ui-ux,1,"Unified Account view only appears after restarting the app, a UI refresh limitation.",You need to re-start Thunderbird app to get the 'Unified Account' displayed,False,2026-06-10,True,john405,True,False,False,1,1
1586597,Empty inbox and mismatched folders after import to Android,migration-import,3,Initial sync delay left inbox blank; folder mismatch stems from IMAP-only sync and duplicate accounts created during setup.,"I see something called ""unified inbox"" with absolutely nothing in it, just a blank screen",False,2026-06-10,True,boggett2001,True,False,True,4,2
1586655,Certificate alert blocks email retrieval on Android,encryption-security,4,Missing or expired root certificate in Android's certificate store failing to validate the provider's cert chain.,I keep getting a certification alert on my android mobile app for my email addresses. This prevents me from getting any emails,True,2026-06-10,False,,False,False,True,2,1
