id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1409754,2023-04-01T01:08:31Z,2023-04-01,en-US,settings,customize;,,Managing Sender Identity from Different SMTP or Standalone Sender Identity without Inbox,https://support.mozilla.org/questions/1409754,,,,,m:gmail,,proto:imap;proto:smtp;proto:pop,,10,true,4.66,True,MattAuSupport
1409756,2023-04-01T02:14:42Z,2023-04-01,en-US,privacy-and-security,privacy-and-security_1;,mark+mozilla,Import IMAP server certificate,https://support.mozilla.org/questions/1409756,,,,,,,proto:imap,,2,true,15.62,False,
1409757,2023-04-01T02:18:38Z,2023-04-01,en-US,troubleshooting,fix-problems;,sofil,Can't send emails while connecting with Surfshark VPN.,https://support.mozilla.org/questions/1409757,os:windows,,,,,,,,3,true,15.53,False,
1409759,2023-04-01T03:18:10Z,2023-04-01,en-US,other,other;,paul526,"I deleted my emails between 2017 - 2019 by mistake, I found file : uq4n2zn3.default file, I opened the sent in this file",https://support.mozilla.org/questions/1409759,,,,,,,,,2,true,7.0,False,
1409760,2023-04-01T03:22:32Z,2023-04-01,en-US,other,other;,marksc2012,Will Thunderbird work for my situation?,https://support.mozilla.org/questions/1409760,,,,,m:microsoftemail,,,,1,true,2.53,False,
1409762,2023-04-01T03:52:35Z,2023-04-01,en-US,calendar,calendar;,erwan.more,Calendar not synchronizing anymore,https://support.mozilla.org/questions/1409762,,,,,,,proto:caldav,,0,false,,False,
1409768,2023-04-01T06:01:47Z,2023-04-01,en-US,troubleshooting,fix-problems;,pugnator.bluesky2,New Message Counter Bugged since coulple of releases,https://support.mozilla.org/questions/1409768,,,,,,,,,1,false,,True,pugnator.bluesky2
1409771,2023-04-01T06:48:40Z,2023-04-01,es,other,other;,,"Borré accidentalmente algunos correos de mi carpeta de ""enviados"" en Thunderbird, y no los encuentro en la ""papelera"".",https://support.mozilla.org/questions/1409771,,,,,,,,,1,true,30.23,False,
1409773,2023-04-01T07:16:08Z,2023-04-01,en-US,calendar,calendar;,tekaham,how do I add local holidars to my calendar?,https://support.mozilla.org/questions/1409773,,,,,,,,,1,true,0.14,False,
1409783,2023-04-01T08:47:53Z,2023-04-01,en-US,other,other;,,thunderbird email problem,https://support.mozilla.org/questions/1409783,,,,,m:gmail,isp:spectrum,,,3,true,1.19,False,
1409787,2023-04-01T10:18:08Z,2023-04-01,en-US,settings,customize;,JeanneR,filters sending everything to Junk folder,https://support.mozilla.org/questions/1409787,,,,,,,,,2,true,7.72,False,
1409791,2023-04-01T11:40:18Z,2023-04-01,en-US,settings,customize;,mikeynavy1,Thunderbird Beta Question - Bug or Setting?,https://support.mozilla.org/questions/1409791,,,,,,,,,1,true,4.84,False,
1409792,2023-04-01T11:46:18Z,2023-04-01,en-US,troubleshooting,fix-problems;,shettyna,"Thunderbird eMail corruption, can a single email be synched instead of Repair the whole Inbox",https://support.mozilla.org/questions/1409792,,,,,m:gmail,,,,1,true,4.79,False,
1409794,2023-04-01T12:37:19Z,2023-04-01,en-US,tips-and-tricks,desktop;customize;windows-10;firefox-1110;,nkennington@juno.com,Thunderbird seems to delete an image from messages I forward.  How do I stop that?,https://support.mozilla.org/questions/1409794,os:windows,Windows 10,,,,,,,1,true,4.58,False,
1409796,2023-04-01T12:48:30Z,2023-04-01,en-US,other,other;,lfisher39,"Mar 21 - Apr 1, I had a working Thunderbird account. 3/30 or 3/31 the account blew up. I downloaded an earlier version b",https://support.mozilla.org/questions/1409796,,,,,m:microsoftemail,isp:spectrum,,,1,true,4.37,False,
1409804,2023-04-01T14:36:43Z,2023-04-01,en-US,other,other;,rogerbell42,unified inbox broken,https://support.mozilla.org/questions/1409804,os:windows,,,,,,proto:imap,,1,true,3.1,True,MattAuSupport
1409807,2023-04-01T15:08:48Z,2023-04-01,en-US,troubleshooting,fix-problems;,,Thunderbird,https://support.mozilla.org/questions/1409807,,,,,,,,,1,true,2.93,False,
1409812,2023-04-01T17:30:35Z,2023-04-01,en-US,calendar,calendar;,oppej,Wrong time in Thunderbird calendar at end of daylight saving,https://support.mozilla.org/questions/1409812,,,,,,,,,0,false,,False,
1409813,2023-04-01T17:55:37Z,2023-04-01,en-US,other,other;,,Remove gmail from my thunderbird account,https://support.mozilla.org/questions/1409813,,,,,m:gmail,,,,1,true,10.75,False,
1409815,2023-04-01T18:19:48Z,2023-04-01,en-US,installation-and-updates,download-and-install_1;,cbc700,Can Thunderbird act as an email server?,https://support.mozilla.org/questions/1409815,,,,,,,,,2,true,0.66,False,
1409818,2023-04-01T21:48:46Z,2023-04-01,en-US,other,other;,Bryan1,Why do some of my sent emails go directly to all mail?,https://support.mozilla.org/questions/1409818,,,,,,,,,3,true,6.93,False,
1409820,2023-04-01T22:27:21Z,2023-04-01,en-US,settings,customize;,newdino,ImportExportTools NG Help Please,https://support.mozilla.org/questions/1409820,,,,,,,,,1,true,6.09,False,
1409822,2023-04-02T00:13:21Z,2023-04-02,en-US,installation-and-updates,download-and-install_1;,Lightwave,WHY ARE NO HELP FILES BUILT IN TO TBIRD ???,https://support.mozilla.org/questions/1409822,os:macos,,,,,,,,3,true,4.55,False,
1409823,2023-04-02T01:22:11Z,2023-04-02,en-US,calendar,calendar;,mozilla415,SoGo CalDAV calendars do not show up in Accept Invitation dialog,https://support.mozilla.org/questions/1409823,,,,,,,proto:caldav,,3,true,1.3,False,
1409824,2023-04-02T01:45:04Z,2023-04-02,en-US,troubleshooting,fix-problems;,Enargins,My profile disappeared!!,https://support.mozilla.org/questions/1409824,,,,,,,,,8,true,3.12,False,
1409828,2023-04-02T03:45:14Z,2023-04-02,en-US,other,other;,,Kan pludselig ikke sende mails.,https://support.mozilla.org/questions/1409828,,,,,,,proto:smtp,,3,true,1.28,False,
1409831,2023-04-02T04:06:18Z,2023-04-02,en-US,other,other;,info9004,Spell checker,https://support.mozilla.org/questions/1409831,,,,,,,,,5,true,50.36,False,
1409832,2023-04-02T04:29:08Z,2023-04-02,en-US,tips-and-tricks,linux;desktop;customize;firefox-1110;,Pi-Piper,Unable to remove option for Blogs & News Feeds in TB mail,https://support.mozilla.org/questions/1409832,os:linux,Linux,,,,,,,5,true,2.47,False,
1409836,2023-04-02T07:52:16Z,2023-04-02,en-US,privacy-and-security,privacy-and-security_1;,,TB cannot find my PgP keys,https://support.mozilla.org/questions/1409836,os:windows,,,,m:gmail,,,,2,true,1.58,True,christ1
1409840,2023-04-02T08:56:58Z,2023-04-02,en-US,calendar,calendar;,nick.scott1,Mozilla Copyright,https://support.mozilla.org/questions/1409840,,,,,,,,,3,true,2.46,False,
1409843,2023-04-02T09:05:24Z,2023-04-02,en-US,installation-and-updates,download-and-install_1;,pbrixey41,How do I save emails and calendar when changing Thunderbird from POP to IMAP?,https://support.mozilla.org/questions/1409843,,,,,m:gmail,,proto:imap;proto:pop,,18,true,2.27,False,
1409844,2023-04-02T09:11:21Z,2023-04-02,en-US,other,other;,ThomasMerchant,attachments not showing up,https://support.mozilla.org/questions/1409844,,,,,m:protonmail,,,,1,true,48.47,False,
1409847,2023-04-02T09:58:56Z,2023-04-02,en-US,other,other;,dpauker,Thunderbird sending emails for new account but not receiving,https://support.mozilla.org/questions/1409847,,,,,,,proto:imap,,4,true,1.16,False,
1409853,2023-04-02T11:48:04Z,2023-04-02,en-US,other,other;,SteveDeiss,Downloaded pop email disappears now after I read it.  I only read it.  I did not delete it or mark it junk or spam.,https://support.mozilla.org/questions/1409853,,,,,,,proto:imap;proto:pop,,1,true,42.53,False,
1409854,2023-04-02T11:51:57Z,2023-04-02,en-US,other,other;,jrcharny,Using Thunderbird as storage for gmail account about to be deleted,https://support.mozilla.org/questions/1409854,,,,,m:gmail,,,,1,true,1.58,False,
1409860,2023-04-02T14:33:07Z,2023-04-02,en-US,troubleshooting,fix-problems;,vtrasikis,thunderbird freezes when downloading from gmail,https://support.mozilla.org/questions/1409860,,,,,m:gmail,,,,2,true,157.43,False,
1409863,2023-04-02T17:19:18Z,2023-04-02,en-US,other,other;,grknife1,how can I update an app in helper application list? word office 10 to office 2021?,https://support.mozilla.org/questions/1409863,,,,,,,,,1,true,4.56,False,
1409864,2023-04-02T17:20:28Z,2023-04-02,en-US,other,other;,dejones78,Can't delete folders,https://support.mozilla.org/questions/1409864,,,,,,,,,0,false,,False,
1409888,2023-04-03T04:22:41Z,2023-04-03,en-US,troubleshooting,fix-problems;,fishpuk,Thunderbird has vanised overnight,https://support.mozilla.org/questions/1409888,,,,,,,,,0,false,,False,
1409891,2023-04-03T05:15:07Z,2023-04-03,en-US,other,other;,Robert12,Is it possible to filter messages from text in message source,https://support.mozilla.org/questions/1409891,,,,,,,,,7,true,0.54,False,
1409893,2023-04-03T05:28:20Z,2023-04-03,en-US,other,other;,berylhankin,cannot add a name to my bowls commitee list.it will not save it,https://support.mozilla.org/questions/1409893,,,,,,,,,0,false,,False,
1409901,2023-04-03T07:17:15Z,2023-04-03,en-US,calendar,calendar;,mueller.pascal,Set default program for ics attachements.,https://support.mozilla.org/questions/1409901,,,,,,,,,0,false,,False,
1409903,2023-04-03T07:47:14Z,2023-04-03,en-US,troubleshooting,fix-problems;,jpfost,email downloads freeeze with task/event reminder,https://support.mozilla.org/questions/1409903,,,,,,,,,0,false,,False,
