id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,feature,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1429631,2023-11-01T01:53:11Z,2023-11-01,cs,other,other;,lubomirsibor,Unable to save email attachment,https://support.mozilla.org/questions/1429631,os:windows,,,,,,feat:attachments,,,2,true,0.2,True,Ansamb
1429633,2023-11-01T02:23:23Z,2023-11-01,cs,settings,customize;,palca1,Uspořádání zpráv podle data a příznaku přečtení - pozice posuvné lišty vpravo,https://support.mozilla.org/questions/1429633,,,,,,,,,,13,true,3.21,False,
1429634,2023-11-01T02:35:58Z,2023-11-01,en-US,other,other;,feymonsan,mail messages to new laptop fails,https://support.mozilla.org/questions/1429634,,,,,,,,,,5,true,1.55,False,
1429637,2023-11-01T03:24:23Z,2023-11-01,en-US,other,other;,johninghamdavies,Thunderbird : Bullet list  and numbered list not working - exit email edit and save draft - edit email again and it work,https://support.mozilla.org/questions/1429637,,,,,,,,,,0,false,,False,
1429638,2023-11-01T03:24:43Z,2023-11-01,en-US,calendar,calendar;,ReaderGuy42,Calendar events and tasks suddenly gone,https://support.mozilla.org/questions/1429638,os:linux,,,,,,feat:calendar,,,0,false,,False,
1429639,2023-11-01T03:25:58Z,2023-11-01,en-US,troubleshooting,fix-problems;,c.lum,"Email ""sent folder"" Thunderbird seems to struggle or fails to copy a sent message to this folder due some ...problem",https://support.mozilla.org/questions/1429639,,,,,,,,,,0,false,,False,
1429640,2023-11-01T03:30:22Z,2023-11-01,en-US,troubleshooting,fix-problems;,c.lum,"I have difficulty finding the mail ""Inbox folder"" It doesnt or rarely opens automatically say after sending or reading a",https://support.mozilla.org/questions/1429640,,,,,,,,,,0,false,,False,
1429644,2023-11-01T03:52:25Z,2023-11-01,en-US,other,other;,mikep82400,Version 115.4.1 Apple MacMini running Sonoma 14.1,https://support.mozilla.org/questions/1429644,os:macos,,macos:sonoma,,,,,,,0,false,,False,
1429645,2023-11-01T03:53:40Z,2023-11-01,en-US,troubleshooting,fix-problems;,cdogawa,Email reception issue,https://support.mozilla.org/questions/1429645,,,,,,m:gmail,,proto:pop,,0,false,,False,
1429648,2023-11-01T04:05:01Z,2023-11-01,en-US,other,other;,marygooderham,How do I sort my inbox and sent items by size to delete big emails?,https://support.mozilla.org/questions/1429648,,,,,,,,,,1,true,0.19,False,
1429649,2023-11-01T04:36:21Z,2023-11-01,en-US,calendar,calendar;,benjaoming,Configuring a default *task* calendar,https://support.mozilla.org/questions/1429649,,,,,,,feat:calendar,,,0,false,,False,
1429650,2023-11-01T04:38:04Z,2023-11-01,en-US,other,other;,kwraith48,replies do not include the recipient address nor the sender topic and content.,https://support.mozilla.org/questions/1429650,,,,,,,,,,1,true,38.14,False,
1429652,2023-11-01T05:21:29Z,2023-11-01,en-US,installation-and-updates,download-and-install_1;,bracing_lion0u,ipage emails,https://support.mozilla.org/questions/1429652,,,,,,,,,,0,false,,False,
1429653,2023-11-01T05:40:12Z,2023-11-01,en-US,troubleshooting,fix-problems;,pamclark1,GIVE ME THE OLD THUNDERBIRD BACK!  THIS NEW ONE IS HORRIBLE.  IF YOU ARE CRUEL TO US THEN BACK AT YOU!,https://support.mozilla.org/questions/1429653,,,,,,,,,,3,true,37.54,False,
1429655,2023-11-01T05:50:42Z,2023-11-01,en-US,other,other;,michaeltyler1960,"gmail sync issues. [was: Thunderbird shows all messages for 1 or 2 days, then it stops displaying all the messages from ",https://support.mozilla.org/questions/1429655,,,,,,m:gmail,,,,7,true,406.85,False,
1429658,2023-11-01T06:27:38Z,2023-11-01,en-US,other,other;,ssenpi,ThuderBird keeps making desktop shortcuts,https://support.mozilla.org/questions/1429658,os:windows,,,,,,,,,0,false,,False,
