id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,feature,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1590533,2026-07-01T03:48:51.009578Z,2026-07-01,en-US,email-and-messaging,windows-10;email-and-messaging;thunderbird-android;thunderbird-14012;thunderbird-140121;,phs1,How to install  inbox in my Samsung 13 phone?,https://support.mozilla.org/questions/1590533,os:windows,Windows 10,,140.12.1esr,140,,,,,1,true,12.28,False,
1590623,2026-07-01T15:42:39.812609Z,2026-07-01,en-US,passwords-and-sign-in,android;passwords-and-sign-in;thunderbird-android;thunderbird-170;,mpompian,Install dows not prompt for login. Errors on IP address,https://support.mozilla.org/questions/1590623,os:android,Android,,17.0,,,,,,1,true,0.64,False,
1590833,2026-07-02T17:18:12.124640Z,2026-07-02,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,john.hart,Sending an email to myself falls to send,https://support.mozilla.org/questions/1590833,os:android,Android,,20.0,,,,,,1,true,2.33,False,
1590931,2026-07-03T07:33:40.958902Z,2026-07-03,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,boneslord,Push notification on multiple account,https://support.mozilla.org/questions/1590931,os:android,Android,,20.0,,,feat:notifications,,,1,true,5.08,False,
1591072,2026-07-04T00:33:15.606976Z,2026-07-04,en-US,email-and-messaging,android;email-and-messaging;thunderbird-android;,mstoner14,"Android app. TB version 20: can only see inbox. Can't see trash, spam, etc. Can't find appearance tab.",https://support.mozilla.org/questions/1591072,os:android,Android,,20,,,feat:junk,,,3,true,3.02,True,platform34
1591167,2026-07-04T14:41:57.753595Z,2026-07-04,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,tryitor,Can not send email,https://support.mozilla.org/questions/1591167,os:android,Android,,20.0,,m:microsoftemail,,,,0,false,,False,
1591175,2026-07-04T15:40:06.452945Z,2026-07-04,en-US,email-and-messaging,android;email-and-messaging;thunderbird-android;,connman,Thunderbird Android App Connections,https://support.mozilla.org/questions/1591175,os:android,Android,,20.0,,,,,,4,true,6.94,True,platform34
1591502,2026-07-06T17:42:55.584697Z,2026-07-06,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,Rudy3,Emails appearing in UNIFIED folder but not in INDIVIDUAL EMAIL account folder,https://support.mozilla.org/questions/1591502,os:android,Android,,20.0,,m:gmail;m:yahooemail;m:comcast,,,,1,false,,False,
1591958,2026-07-09T06:07:17.183866Z,2026-07-09,en-US,install,windows-11;thunderbird-android;install;,julien_peugnet,import settings to mobile phone,https://support.mozilla.org/questions/1591958,os:windows,Windows 11,,?,,,feat:import_export,,,7,true,3.34,False,
1591991,2026-07-09T11:16:10.215561Z,2026-07-09,en-US,customization,customization;thunderbird-android;,roger200,Cannot see date of emails and earlier solution not available,https://support.mozilla.org/questions/1591991,,,,XXXX,,,,,,4,true,5.63,True,platform34
1592033,2026-07-09T15:24:42.719245Z,2026-07-09,en-US,connectivity,android;thunderbird-android;connectivity;,mozilla869,"notification sound works on phone only, not in Android Auto",https://support.mozilla.org/questions/1592033,os:android,Android,,20,,,feat:notifications,,,0,false,,False,
1592034,2026-07-09T15:28:49.963297Z,2026-07-09,en-US,import-and-export-email,thunderbird-android;import-and-export-email;thunderbird-14071;thunderbird-1407;,eurobluecat,impossible to import thunderbird on redmi note 13,https://support.mozilla.org/questions/1592034,os:linux,Linux mint,,140.7.1esr,140,,feat:import_export,,,2,true,2.49,True,platform34
1592111,2026-07-10T01:35:03.200098Z,2026-07-10,en-US,customization,android;customization;thunderbird-android;,alvarsomit,"Add ""undo"" feature",https://support.mozilla.org/questions/1592111,os:android,Android,,20.0,,,,,,1,true,0.48,True,platform34
1592241,2026-07-10T19:36:18.902887Z,2026-07-10,en-US,junk-mail-and-spam,android;thunderbird-android;junk-mail-and-spam;,sherriduncan1985,Deleted emails.  No trash folder.,https://support.mozilla.org/questions/1592241,os:android,Android,,20.1,,,,,,9,true,18.99,False,
1592397,2026-07-11T14:52:10.637373Z,2026-07-11,en-US,account-management,windows-10;thunderbird-android;account-management;thunderbird-14012;thunderbird-140121;,mwpclark,Importing to Thunderbird Android using QR code,https://support.mozilla.org/questions/1592397,os:windows,Windows 10,,140.12.1esr,140,m:gmail,feat:import_export,,,2,true,2.68,False,
1592538,2026-07-12T13:24:02.855947Z,2026-07-12,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,john248,Group Emails,https://support.mozilla.org/questions/1592538,os:android,Android,,20.1,,,,,,1,true,1.99,True,platform34
1592575,2026-07-12T18:20:19.864303Z,2026-07-12,en-US,email-and-messaging,email-and-messaging;thunderbird-android;,dmkroslindale,TB for Android Identities,https://support.mozilla.org/questions/1592575,os:android,Android 13,,TB Android 20.1,,m:gmail,,,,3,true,4.23,False,
1592738,2026-07-13T17:39:43.274023Z,2026-07-13,en-US,customization,android;customization;thunderbird-android;,bunty2,How do I create subfolders in my inbox,https://support.mozilla.org/questions/1592738,os:android,Android,,20.1,,,,,,2,true,2.14,False,
1593021,2026-07-15T08:48:08.489463Z,2026-07-15,en-US,send-and-receive-email,android;needsinfo;thunderbird-android;send-and-receive-email;,a3times7,"""Edit as new mail"" after send fail always sets the identity to default identity?",https://support.mozilla.org/questions/1593021,os:android,Android,,18.0b2,,,,,,2,true,374.91,False,
1593037,2026-07-15T10:42:36.164888Z,2026-07-15,en-US,import-and-export-email,thunderbird-android;import-and-export-email;,georges.giralt,Transfering data to Android Thunderbird,https://support.mozilla.org/questions/1593037,os:android,Android 14 with jan 2026 security patch.,,20.1,,,,proto:pop,,2,true,4.99,True,platform34
1593049,2026-07-15T12:21:04.699824Z,2026-07-15,en-US,customization,customization;thunderbird-android;,harry.green,Cannot find the option to NOT automatically mark options as read (Firefox Android 20),https://support.mozilla.org/questions/1593049,os:other,LineageOS 21,,,,,,,,1,true,3.03,True,platform34
1593107,2026-07-15T19:17:53.935687Z,2026-07-15,nl,email-and-messaging,email-and-messaging;thunderbird-android;,Blackrose19602,Ik heb een vraag over mijn mail?,https://support.mozilla.org/questions/1593107,,,,,,,,,,0,false,,False,
1593176,2026-07-16T08:20:17.765309Z,2026-07-16,en-US,customization,android;customization;thunderbird-android;thunderbird-170;,mdurangot5,"I can't get notifications,why?",https://support.mozilla.org/questions/1593176,os:android,Android,,17.0,,m:gmail,feat:notifications,,,1,true,13.49,False,
1593277,2026-07-16T21:05:11.381457Z,2026-07-16,en-US,import-and-export-settings,windows-11;thunderbird-android;import-and-export-settings;,moritzfritz,Thunderbird Mobile,https://support.mozilla.org/questions/1593277,os:windows,Windows 11,,20.1,,,,,,1,true,8.0,False,
1594030,2026-07-21T12:49:09.852319Z,2026-07-21,en-US,account-management,thunderbird-android;account-management;,jabernardi54,Microsoft365 automated email setup does not work.,https://support.mozilla.org/questions/1594030,os:android,Android 17,,20.1,,m:microsoftemail,,proto:imap;proto:smtp,,3,true,20.24,False,
1594236,2026-07-22T15:06:23.883118Z,2026-07-22,en-US,contacts,thunderbird-android;contacts;,nic2,Address bookdisappeared. Could be in Profile folder but how to transfer is question,https://support.mozilla.org/questions/1594236,os:windows,Windows 11 ?Thunderbird on laptop,,20.1,,,feat:addressbook,,,1,true,2.94,False,
