period,dim,value,count,baseline_median,magnitude,kind,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2025-02-10,total,all,8,2.0,4.0,above-baseline,50,4,304.4,1492148 1492170 1492176 1492223 1492227 1492252 1492276 1492311,https://support.mozilla.org/questions/1492148 https://support.mozilla.org/questions/1492170 https://support.mozilla.org/questions/1492176 https://support.mozilla.org/questions/1492223 https://support.mozilla.org/questions/1492227 https://support.mozilla.org/questions/1492252 https://support.mozilla.org/questions/1492276 https://support.mozilla.org/questions/1492311,Images and coloured text in email signature of thunderbird a | Incorrect sorting of letters in the list | Thunderbird Android | Copy mail on a folder sent | It is showed only few (and old) email (in Yahoo account) ok 
2025-01-16,total,all,9,2.0,4.5,above-baseline,44,5,16.5,1486310 1486354 1486384 1486408 1486433 1486454 1486460 1486464 1486466,https://support.mozilla.org/questions/1486310 https://support.mozilla.org/questions/1486354 https://support.mozilla.org/questions/1486384 https://support.mozilla.org/questions/1486408 https://support.mozilla.org/questions/1486433 https://support.mozilla.org/questions/1486454 https://support.mozilla.org/questions/1486460 https://support.mozilla.org/questions/1486464 https://support.mozilla.org/questions/1486466,Duplicate account abbreviations on account selection page | Add Outlook account | adressbook | Emails from IMAP account being bounced | forward error
2024-12-20,total,all,11,3.0,3.67,above-baseline,18,9,54.9,1480316 1480330 1480342 1480344 1480347 1480385 1480416 1480436 1480439 1480473 1480496,https://support.mozilla.org/questions/1480316 https://support.mozilla.org/questions/1480330 https://support.mozilla.org/questions/1480342 https://support.mozilla.org/questions/1480344 https://support.mozilla.org/questions/1480347 https://support.mozilla.org/questions/1480385 https://support.mozilla.org/questions/1480416 https://support.mozilla.org/questions/1480436 https://support.mozilla.org/questions/1480439 https://support.mozilla.org/questions/1480473 https://support.mozilla.org/questions/1480496,"TBird for Android | Thunderbird - Android - print problem | I don't want UNIFIED INBOX as I use Gmail separately, can I  | When scrolling through messages, the subject line etc. disap | Feature suggestion"
2024-11-08,total,all,8,1.0,8.0,above-baseline,62,3,2.2,1473328 1473341 1473349 1473398 1473400 1473406 1473437 1473458,https://support.mozilla.org/questions/1473328 https://support.mozilla.org/questions/1473341 https://support.mozilla.org/questions/1473349 https://support.mozilla.org/questions/1473398 https://support.mozilla.org/questions/1473400 https://support.mozilla.org/questions/1473406 https://support.mozilla.org/questions/1473437 https://support.mozilla.org/questions/1473458,Problem in fetching new messages. | Delete does not delete | Grand Canyon University | signature in the letter | Synchronization and notification
2024-11-07,total,all,12,1.0,12.0,above-baseline,58,5,38.1,1473144 1473156 1473163 1473168 1473169 1473185 1473186 1473244 1473274 1473294 1473302 1473317,https://support.mozilla.org/questions/1473144 https://support.mozilla.org/questions/1473156 https://support.mozilla.org/questions/1473163 https://support.mozilla.org/questions/1473168 https://support.mozilla.org/questions/1473169 https://support.mozilla.org/questions/1473185 https://support.mozilla.org/questions/1473186 https://support.mozilla.org/questions/1473244 https://support.mozilla.org/questions/1473274 https://support.mozilla.org/questions/1473294 https://support.mozilla.org/questions/1473302 https://support.mozilla.org/questions/1473317,Thunderbird for Android - POP Account and Creating local sub | Confirmation of delete in notifications | Thunderbird mobile | print setting | msg move to an other account
2024-11-07,os,os:android,8,1.0,8.0,above-baseline,50,4,24.4,1473144 1473156 1473163 1473169 1473186 1473244 1473294 1473302,https://support.mozilla.org/questions/1473144 https://support.mozilla.org/questions/1473156 https://support.mozilla.org/questions/1473163 https://support.mozilla.org/questions/1473169 https://support.mozilla.org/questions/1473186 https://support.mozilla.org/questions/1473244 https://support.mozilla.org/questions/1473294 https://support.mozilla.org/questions/1473302,Thunderbird for Android - POP Account and Creating local sub | Confirmation of delete in notifications | Thunderbird mobile | msg move to an other account | Thunderbird for android is failing to synchronise data with 
2024-11-06,total,all,15,1.0,15.0,above-baseline,27,11,22.6,1473013 1473015 1473019 1473023 1473039 1473042 1473043 1473047 1473048 1473053 1473074 1473091 1473122 1473141 1473142,https://support.mozilla.org/questions/1473013 https://support.mozilla.org/questions/1473015 https://support.mozilla.org/questions/1473019 https://support.mozilla.org/questions/1473023 https://support.mozilla.org/questions/1473039 https://support.mozilla.org/questions/1473042 https://support.mozilla.org/questions/1473043 https://support.mozilla.org/questions/1473047 https://support.mozilla.org/questions/1473048 https://support.mozilla.org/questions/1473053 https://support.mozilla.org/questions/1473074 https://support.mozilla.org/questions/1473091 https://support.mozilla.org/questions/1473122 https://support.mozilla.org/questions/1473141 https://support.mozilla.org/questions/1473142,"Thunderbird for Android | Mail for android | Swipe left to archive | Can receive mail, but can't send | email from address used when replying, Thunderbird for andro"
2024-11-05,total,all,8,1.0,8.0,above-baseline,75,2,15.6,1472858 1472881 1472890 1472894 1472914 1472939 1472973 1472986,https://support.mozilla.org/questions/1472858 https://support.mozilla.org/questions/1472881 https://support.mozilla.org/questions/1472890 https://support.mozilla.org/questions/1472894 https://support.mozilla.org/questions/1472914 https://support.mozilla.org/questions/1472939 https://support.mozilla.org/questions/1472973 https://support.mozilla.org/questions/1472986,HTML Signature on Mobile | Create rules and / or filters for spam | TB Mobile for Android not prompting for contacts | No push notifications | A few things I don't like about the android app
2024-11-03,total,all,11,1.0,11.0,above-baseline,18,9,391.8,1472521 1472533 1472544 1472559 1472572 1472579 1472580 1472600 1472622 1472633 1472646,https://support.mozilla.org/questions/1472521 https://support.mozilla.org/questions/1472533 https://support.mozilla.org/questions/1472544 https://support.mozilla.org/questions/1472559 https://support.mozilla.org/questions/1472572 https://support.mozilla.org/questions/1472579 https://support.mozilla.org/questions/1472580 https://support.mozilla.org/questions/1472600 https://support.mozilla.org/questions/1472622 https://support.mozilla.org/questions/1472633 https://support.mozilla.org/questions/1472646,SPAM filtering? | Mala sent from IMAP account not found | Syncing deleted emails between Thunderbird Android and deskt | Low contrast in some emails/CSS inconsistently applied? (scr | How to change/sync Google account icons to Thunderbird Andro
2024-11-01,total,all,9,1.0,9.0,above-baseline,67,3,16.2,1472287 1472299 1472314 1472318 1472320 1472321 1472356 1472357 1472391,https://support.mozilla.org/questions/1472287 https://support.mozilla.org/questions/1472299 https://support.mozilla.org/questions/1472314 https://support.mozilla.org/questions/1472318 https://support.mozilla.org/questions/1472320 https://support.mozilla.org/questions/1472321 https://support.mozilla.org/questions/1472356 https://support.mozilla.org/questions/1472357 https://support.mozilla.org/questions/1472391,Download my contacts | Android Inbox | gmail configuration | Reading font size | SMTP on Thunderbird for Android
