period,dim,value,count,baseline_median,magnitude,kind,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2026-07-31,tb_version_major,153,18,0.0,new,new/dormant,100,0,1.5,1595834 1595845 1595865 1595876 1595877 1595882 1595883 1595900 1595914 1595928 1595937 1595941 1595945 1595946 1595956 1595957 1595966 1595968,https://support.mozilla.org/questions/1595834 https://support.mozilla.org/questions/1595845 https://support.mozilla.org/questions/1595865 https://support.mozilla.org/questions/1595876 https://support.mozilla.org/questions/1595877 https://support.mozilla.org/questions/1595882 https://support.mozilla.org/questions/1595883 https://support.mozilla.org/questions/1595900 https://support.mozilla.org/questions/1595914 https://support.mozilla.org/questions/1595928 https://support.mozilla.org/questions/1595937 https://support.mozilla.org/questions/1595941 https://support.mozilla.org/questions/1595945 https://support.mozilla.org/questions/1595946 https://support.mozilla.org/questions/1595956 https://support.mozilla.org/questions/1595957 https://support.mozilla.org/questions/1595966 https://support.mozilla.org/questions/1595968,"Compacting folders progress bar | are you able to use thunderbird email without primary passwo | I need a filter on a message to FULLY FINISH before a next m | Are there any ""best practice"" advice regarding organising st | Errore di autenticazione account gmail"
2026-07-30,tb_version_major,153,9,0.0,new,new/dormant,100,0,29.8,1595713 1595723 1595730 1595732 1595757 1595758 1595804 1595816 1595827,https://support.mozilla.org/questions/1595713 https://support.mozilla.org/questions/1595723 https://support.mozilla.org/questions/1595730 https://support.mozilla.org/questions/1595732 https://support.mozilla.org/questions/1595757 https://support.mozilla.org/questions/1595758 https://support.mozilla.org/questions/1595804 https://support.mozilla.org/questions/1595816 https://support.mozilla.org/questions/1595827,Why do deleted emails remain in my All Mail box? | Thunderbird editor line spacing | F5 no longer works (linux) | Right click not working on spam email | Thunderbird has stopped connecting to the PTD server on ever
2026-07-28,tb_version_major,153,11,0.0,new,new/dormant,82,2,62.6,1595265 1595273 1595316 1595326 1595352 1595358 1595400 1595401 1595416 1595426 1595438,https://support.mozilla.org/questions/1595265 https://support.mozilla.org/questions/1595273 https://support.mozilla.org/questions/1595316 https://support.mozilla.org/questions/1595326 https://support.mozilla.org/questions/1595352 https://support.mozilla.org/questions/1595358 https://support.mozilla.org/questions/1595400 https://support.mozilla.org/questions/1595401 https://support.mozilla.org/questions/1595416 https://support.mozilla.org/questions/1595426 https://support.mozilla.org/questions/1595438,How to delete duplicate folders in three email acounts? | Adding a hotmail email account to Thunderbird 153.0 (64-bit) | cannot configure yahoo mail account in thunderbird. cannot f | Mess after update | how to increase size of text in email opened in Thunderbird
2026-07-27,tb_version_major,153,11,0.0,new,new/dormant,82,2,4.8,1595089 1595090 1595096 1595113 1595142 1595159 1595164 1595180 1595182 1595205 1595217,https://support.mozilla.org/questions/1595089 https://support.mozilla.org/questions/1595090 https://support.mozilla.org/questions/1595096 https://support.mozilla.org/questions/1595113 https://support.mozilla.org/questions/1595142 https://support.mozilla.org/questions/1595159 https://support.mozilla.org/questions/1595164 https://support.mozilla.org/questions/1595180 https://support.mozilla.org/questions/1595182 https://support.mozilla.org/questions/1595205 https://support.mozilla.org/questions/1595217,"add a yohoo email account | backup zip ,841mb ,will not import into thunderbird | System updated despite being set to hold updates | Moved profile isn't working | outlook in thunderbird connection to smtp server failed"
2026-07-26,tb_version_major,153,15,0.0,new,new/dormant,80,3,5.6,1594896 1594901 1594904 1594912 1594945 1594983 1594987 1594990 1595012 1595026 1595030 1595048 1595056 1595057 1595061,https://support.mozilla.org/questions/1594896 https://support.mozilla.org/questions/1594901 https://support.mozilla.org/questions/1594904 https://support.mozilla.org/questions/1594912 https://support.mozilla.org/questions/1594945 https://support.mozilla.org/questions/1594983 https://support.mozilla.org/questions/1594987 https://support.mozilla.org/questions/1594990 https://support.mozilla.org/questions/1595012 https://support.mozilla.org/questions/1595026 https://support.mozilla.org/questions/1595030 https://support.mozilla.org/questions/1595048 https://support.mozilla.org/questions/1595056 https://support.mozilla.org/questions/1595057 https://support.mozilla.org/questions/1595061,"Lost my password | When opening Tbird 153.0, several servers give authenticatio | Click on 'get messages' goes nowhere | spam folder stuck in trash | Please restore that useful counter which showed the progress"
2026-07-24,tb_version_major,153,8,0.0,new,new/dormant,75,2,31.4,1594604 1594673 1594684 1594687 1594698 1594720 1594723 1594725,https://support.mozilla.org/questions/1594604 https://support.mozilla.org/questions/1594673 https://support.mozilla.org/questions/1594684 https://support.mozilla.org/questions/1594687 https://support.mozilla.org/questions/1594698 https://support.mozilla.org/questions/1594720 https://support.mozilla.org/questions/1594723 https://support.mozilla.org/questions/1594725,"""Current operation on Inbox did not succeed for yahoo accoun | Can't get back to inbox from local folders | How do I stop original emails in my inbox from duplicating t | missing a folder that exists on the ISP server | Unable to install gmail address accounts due passkey issues "
2026-07-23,tb_version_major,153,11,0.0,new,new/dormant,82,2,3.0,1594355 1594359 1594394 1594400 1594410 1594444 1594449 1594453 1594478 1594496 1594502,https://support.mozilla.org/questions/1594355 https://support.mozilla.org/questions/1594359 https://support.mozilla.org/questions/1594394 https://support.mozilla.org/questions/1594400 https://support.mozilla.org/questions/1594410 https://support.mozilla.org/questions/1594444 https://support.mozilla.org/questions/1594449 https://support.mozilla.org/questions/1594453 https://support.mozilla.org/questions/1594478 https://support.mozilla.org/questions/1594496 https://support.mozilla.org/questions/1594502,"not sure i  lke the new version | How do I remove the English (US) dictionary from Thunderbird | Imap folders missing | Disable ""Connection to server"" timeout notification | не работает почта"
2026-07-01,tb_version_major,152,11,3.5,3.14,above-baseline,45,6,0.8,1590558 1590593 1590611 1590630 1590645 1590650 1590663 1590666 1590687 1590697 1590708,https://support.mozilla.org/questions/1590558 https://support.mozilla.org/questions/1590593 https://support.mozilla.org/questions/1590611 https://support.mozilla.org/questions/1590630 https://support.mozilla.org/questions/1590645 https://support.mozilla.org/questions/1590650 https://support.mozilla.org/questions/1590663 https://support.mozilla.org/questions/1590666 https://support.mozilla.org/questions/1590687 https://support.mozilla.org/questions/1590697 https://support.mozilla.org/questions/1590708,Chyba editoru při přeposílání (inline): Uzamčení dočasných s | Too much disk space used by Thunderbird | Changing the font size/type for Message Source? | Uninstall not found... TB trying to reset to default | Unable to sign in to a Google Mail account
2026-06-30,tb_version_major,152,9,1.5,6.0,above-baseline,44,5,2.1,1590325 1590372 1590385 1590393 1590399 1590449 1590463 1590495 1590499,https://support.mozilla.org/questions/1590325 https://support.mozilla.org/questions/1590372 https://support.mozilla.org/questions/1590385 https://support.mozilla.org/questions/1590393 https://support.mozilla.org/questions/1590399 https://support.mozilla.org/questions/1590449 https://support.mozilla.org/questions/1590463 https://support.mozilla.org/questions/1590495 https://support.mozilla.org/questions/1590499,"Win11/Ver152 how to attach a file to a message for sending | Urgent question: Wrong email group when I sign in coming up | Hi, after the participant's or party's e-mail address, it ap | Storende pop-up naar aanleiding van verwijderde google-accou | Thunderbird is marking unread messages as read"
2026-06-29,tb_version_major,152,16,1.0,16.0,above-baseline,81,3,6.8,1590162 1590178 1590192 1590198 1590207 1590208 1590210 1590214 1590255 1590272 1590275 1590278 1590283 1590286 1590301 1590307,https://support.mozilla.org/questions/1590162 https://support.mozilla.org/questions/1590178 https://support.mozilla.org/questions/1590192 https://support.mozilla.org/questions/1590198 https://support.mozilla.org/questions/1590207 https://support.mozilla.org/questions/1590208 https://support.mozilla.org/questions/1590210 https://support.mozilla.org/questions/1590214 https://support.mozilla.org/questions/1590255 https://support.mozilla.org/questions/1590272 https://support.mozilla.org/questions/1590275 https://support.mozilla.org/questions/1590278 https://support.mozilla.org/questions/1590283 https://support.mozilla.org/questions/1590286 https://support.mozilla.org/questions/1590301 https://support.mozilla.org/questions/1590307,Funzionamento QRcode per condigurazione Tablet da PC (Trasfe | Adding 2nd outlook accound | Thunderbird on 2 computers when message deleted on one it al | Thunderbird emails have started to only show links and not t | Moving numerous emails in one account
