date,dim,value,count,baseline_median,magnitude,kind,question_ids,example_urls,example_titles
2026-06-27,tb_version_major,152,6,1.0,6.0,above-baseline,1589818 1589841 1589864 1589874 1589877 1589910,https://support.mozilla.org/questions/1589818 https://support.mozilla.org/questions/1589841 https://support.mozilla.org/questions/1589864 https://support.mozilla.org/questions/1589874 https://support.mozilla.org/questions/1589877 https://support.mozilla.org/questions/1589910,My wife sends me a message and it shows it;s from someone el | Cannot delete messages | Password for a unknown mail address. | Any attempt to add a Nextcloud CalDAV calendar to Thunderbir | The update of June 20 completely replaced the existing versi
2026-06-26,tb_version_major,152,16,1.0,16.0,above-baseline,1589625 1589639 1589641 1589642 1589655 1589657 1589680 1589710 1589727 1589735 1589743 1589745 1589749 1589769 1589788 1589805,https://support.mozilla.org/questions/1589625 https://support.mozilla.org/questions/1589639 https://support.mozilla.org/questions/1589641 https://support.mozilla.org/questions/1589642 https://support.mozilla.org/questions/1589655 https://support.mozilla.org/questions/1589657 https://support.mozilla.org/questions/1589680 https://support.mozilla.org/questions/1589710 https://support.mozilla.org/questions/1589727 https://support.mozilla.org/questions/1589735 https://support.mozilla.org/questions/1589743 https://support.mozilla.org/questions/1589745 https://support.mozilla.org/questions/1589749 https://support.mozilla.org/questions/1589769 https://support.mozilla.org/questions/1589788 https://support.mozilla.org/questions/1589805,"Thunderbird Message Filtering | Help needed to resolve error 400 sign in request? | The Status Bar and progress bar do not show during prompted  | trouble creating an identity | When i reply to email, can have ""from"" address to be whateve"
2026-06-25,tb_version_major,152,15,1.0,15.0,above-baseline,1589455 1589473 1589482 1589488 1589497 1589507 1589510 1589517 1589525 1589533 1589555 1589557 1589563 1589581 1589608,https://support.mozilla.org/questions/1589455 https://support.mozilla.org/questions/1589473 https://support.mozilla.org/questions/1589482 https://support.mozilla.org/questions/1589488 https://support.mozilla.org/questions/1589497 https://support.mozilla.org/questions/1589507 https://support.mozilla.org/questions/1589510 https://support.mozilla.org/questions/1589517 https://support.mozilla.org/questions/1589525 https://support.mozilla.org/questions/1589533 https://support.mozilla.org/questions/1589555 https://support.mozilla.org/questions/1589557 https://support.mozilla.org/questions/1589563 https://support.mozilla.org/questions/1589581 https://support.mozilla.org/questions/1589608,"How do I prevent automatic updates? | versendete Mail wird nicht im Ordner SentMail angezeigt, wo  | Cannot move or copy multiple messages | Assistance Required: Password Protection for Thunderbird Cli | Unable to send or receive emails."
2026-06-24,tb_version_major,152,12,0.5,24.0,above-baseline,1589243 1589281 1589308 1589325 1589332 1589335 1589339 1589342 1589344 1589353 1589380 1589395,https://support.mozilla.org/questions/1589243 https://support.mozilla.org/questions/1589281 https://support.mozilla.org/questions/1589308 https://support.mozilla.org/questions/1589325 https://support.mozilla.org/questions/1589332 https://support.mozilla.org/questions/1589335 https://support.mozilla.org/questions/1589339 https://support.mozilla.org/questions/1589342 https://support.mozilla.org/questions/1589344 https://support.mozilla.org/questions/1589353 https://support.mozilla.org/questions/1589380 https://support.mozilla.org/questions/1589395,"迷惑メールフォルダーに入っていた迷惑メールが勝手にゴミ箱に移動してしまう | Mozilla Thunderbird no ordena las carpetas alfabéticamente s | We're unable to complete your request error when Thunderbird | After laptop reset, my inbox, sent emails, and templates are | Signature does not apply when I forward an email."
2026-06-24,os,os:linux,6,2.0,3.0,above-baseline,1589284 1589304 1589339 1589376 1589394 1589416,https://support.mozilla.org/questions/1589284 https://support.mozilla.org/questions/1589304 https://support.mozilla.org/questions/1589339 https://support.mozilla.org/questions/1589376 https://support.mozilla.org/questions/1589394 https://support.mozilla.org/questions/1589416,S/MIME encryption cannot find recipient's address despite va | incorrect word in English (Australia) dictionary in Linux Th | Missing option to show remote content for a single message | Export or use a single contact as attachement to a mail | How do i get rid of this junk mail i dont see anything your 
2026-06-23,tb_version_major,152,9,0.0,new,new/dormant,1589123 1589138 1589159 1589173 1589191 1589199 1589202 1589211 1589226,https://support.mozilla.org/questions/1589123 https://support.mozilla.org/questions/1589138 https://support.mozilla.org/questions/1589159 https://support.mozilla.org/questions/1589173 https://support.mozilla.org/questions/1589191 https://support.mozilla.org/questions/1589199 https://support.mozilla.org/questions/1589202 https://support.mozilla.org/questions/1589211 https://support.mozilla.org/questions/1589226,How can I view in calendar 7 days on one screen. No matter w | I am trying to enter new settings and can't locate the page | E Mial client listing order | emails move on their own from inbox to trash folder (locked  | Downloading messages
2026-06-22,tb_version_major,152,9,0.0,new,new/dormant,1588926 1588933 1588938 1588974 1588984 1589014 1589022 1589025 1589028,https://support.mozilla.org/questions/1588926 https://support.mozilla.org/questions/1588933 https://support.mozilla.org/questions/1588938 https://support.mozilla.org/questions/1588974 https://support.mozilla.org/questions/1588984 https://support.mozilla.org/questions/1589014 https://support.mozilla.org/questions/1589022 https://support.mozilla.org/questions/1589025 https://support.mozilla.org/questions/1589028,Thunderbird reloading one account on startup and account's f | All of a sudden my emails are permanently staying in bold in | My Gmail Imap is in Local Folders and I want to move it to t | Ho scaricato Thunderbird ma per completare l'installazione i | Issue with recieving any emails
2026-06-21,tb_version_major,152,5,0.0,new,new/dormant,1588710 1588729 1588737 1588804 1588814,https://support.mozilla.org/questions/1588710 https://support.mozilla.org/questions/1588729 https://support.mozilla.org/questions/1588737 https://support.mozilla.org/questions/1588804 https://support.mozilla.org/questions/1588814,Google Kalendar always asks for Password when starting Thund | Thunderbird rel. 152.0 (64 bit) talvolta arriva mail senza m | Mail komt binnen op verkeerd adres | emails in inbox keep moving to trash box by themselves | Loading old calendar from an old profiel
2026-06-20,tb_version_major,152,7,0.0,new,new/dormant,1588488 1588489 1588547 1588600 1588623 1588626 1588637,https://support.mozilla.org/questions/1588488 https://support.mozilla.org/questions/1588489 https://support.mozilla.org/questions/1588547 https://support.mozilla.org/questions/1588600 https://support.mozilla.org/questions/1588623 https://support.mozilla.org/questions/1588626 https://support.mozilla.org/questions/1588637,"Thunderbird is locked-up at 5:21 today. | not receiving all emails | Nog geen licentie thunderbirth | New sorting folders i.e. Work, Home etc | What is ""net.thunderbird"" integration in 152.0?"
2026-06-19,tb_version_major,152,12,0.0,new,new/dormant,1588290 1588292 1588311 1588331 1588332 1588335 1588345 1588351 1588384 1588386 1588394 1588405,https://support.mozilla.org/questions/1588290 https://support.mozilla.org/questions/1588292 https://support.mozilla.org/questions/1588311 https://support.mozilla.org/questions/1588331 https://support.mozilla.org/questions/1588332 https://support.mozilla.org/questions/1588335 https://support.mozilla.org/questions/1588345 https://support.mozilla.org/questions/1588351 https://support.mozilla.org/questions/1588384 https://support.mozilla.org/questions/1588386 https://support.mozilla.org/questions/1588394 https://support.mozilla.org/questions/1588405,Thunderbird keeps asking for password for 3 email accounts s | Calendar (Thunderbird 152 on Windows 11)  keeps asking authe | Received Address book contact goes to 'spam' folder | PROBLEMI MAIL | Local Folder Space
