period,dim,value,count
2026-08-06 01:00,av,av:avast,1
2026-08-03 16:00,av,av:bitdefender,1
2026-08-08 21:00,av,av:bitdefender,1
2026-08-04 14:00,macos_release,macos:monterey,1
2026-08-09 11:00,macos_release,macos:monterey,1
2026-08-07 08:00,macos_release,macos:sonoma,1
2026-08-05 04:00,macos_release,macos:tahoe,1
2026-08-07 08:00,macos_release,macos:tahoe,1
2026-08-03 22:00,mail_provider,m:att,1
2026-08-03 22:00,mail_provider,m:bell,1
2026-08-04 20:00,mail_provider,m:centurylink,1
2026-08-05 04:00,mail_provider,m:comcast,1
2026-08-08 16:00,mail_provider,m:cox,1
2026-08-03 16:00,mail_provider,m:gmail,1
2026-08-03 21:00,mail_provider,m:gmail,1
2026-08-03 22:00,mail_provider,m:gmail,1
2026-08-04 02:00,mail_provider,m:gmail,1
2026-08-04 10:00,mail_provider,m:gmail,1
2026-08-04 14:00,mail_provider,m:gmail,1
2026-08-04 23:00,mail_provider,m:gmail,1
2026-08-05 09:00,mail_provider,m:gmail,1
2026-08-06 03:00,mail_provider,m:gmail,1
2026-08-06 09:00,mail_provider,m:gmail,1
2026-08-06 19:00,mail_provider,m:gmail,1
2026-08-07 04:00,mail_provider,m:gmail,1
2026-08-08 01:00,mail_provider,m:gmail,1
2026-08-08 16:00,mail_provider,m:gmail,1
2026-08-08 17:00,mail_provider,m:gmail,1
2026-08-08 23:00,mail_provider,m:gmail,1
2026-08-10 00:00,mail_provider,m:gmail,1
2026-08-05 18:00,mail_provider,m:icloud,1
2026-08-09 21:00,mail_provider,m:ionos,1
2026-08-06 01:00,mail_provider,m:mailfence,1
2026-08-05 04:00,mail_provider,m:mediacom,1
2026-08-03 16:00,mail_provider,m:microsoftemail,1
2026-08-03 22:00,mail_provider,m:microsoftemail,1
2026-08-04 06:00,mail_provider,m:microsoftemail,1
2026-08-04 07:00,mail_provider,m:microsoftemail,1
2026-08-04 13:00,mail_provider,m:microsoftemail,1
2026-08-04 14:00,mail_provider,m:microsoftemail,2
2026-08-05 04:00,mail_provider,m:microsoftemail,1
2026-08-05 09:00,mail_provider,m:microsoftemail,1
2026-08-07 13:00,mail_provider,m:microsoftemail,2
2026-08-08 17:00,mail_provider,m:microsoftemail,1
2026-08-10 07:00,mail_provider,m:microsoftemail,1
2026-08-05 20:00,mail_provider,m:shaw,1
2026-08-05 17:00,mail_provider,m:spectrum,1
2026-08-08 16:00,mail_provider,m:spectrum,1
2026-08-09 21:00,mail_provider,m:spectrum,1
2026-08-04 07:00,mail_provider,m:thundermail,1
2026-08-09 04:00,mail_provider,m:verizon,1
2026-08-07 22:00,mail_provider,m:windstream,1
2026-08-09 23:00,mail_provider,m:xtra_nz,1
2026-08-03 17:00,mail_provider,m:yahooemail,1
2026-08-03 22:00,mail_provider,m:yahooemail,2
2026-08-04 10:00,mail_provider,m:yahooemail,1
2026-08-04 23:00,mail_provider,m:yahooemail,1
2026-08-05 04:00,mail_provider,m:yahooemail,1
2026-08-06 08:00,mail_provider,m:yahooemail,1
2026-08-06 12:00,mail_provider,m:yahooemail,1
2026-08-07 14:00,mail_provider,m:yahooemail,1
2026-08-08 00:00,mail_provider,m:yahooemail,1
2026-08-08 01:00,mail_provider,m:yahooemail,1
2026-08-08 16:00,mail_provider,m:yahooemail,1
2026-08-09 04:00,mail_provider,m:yahooemail,1
2026-08-09 19:00,mail_provider,m:yahooemail,1
2026-08-10 09:00,mail_provider,m:yahooemail,1
2026-08-10 14:00,mail_provider,m:yahooemail,1
2026-08-05 09:00,mail_provider,m:yandex,1
2026-08-05 02:00,os,os:android,1
2026-08-06 19:00,os,os:android,1
2026-08-08 03:00,os,os:android,2
2026-08-03 16:00,os,os:linux,1
2026-08-03 22:00,os,os:linux,1
2026-08-04 06:00,os,os:linux,1
