period,dim,value,count
2024-08,av,av:avast,1
2024-09,av,av:avast,3
2024-10,av,av:avast,1
2024-11,av,av:avast,4
2024-12,av,av:avast,2
2025-01,av,av:avast,3
2025-02,av,av:avast,5
2025-03,av,av:avast,2
2025-04,av,av:avast,3
2025-05,av,av:avast,1
2025-07,av,av:avast,3
2025-10,av,av:avast,2
2025-11,av,av:avast,4
2025-12,av,av:avast,1
2026-01,av,av:avast,3
2026-02,av,av:avast,1
2026-03,av,av:avast,1
2026-04,av,av:avast,4
2026-05,av,av:avast,2
2026-06,av,av:avast,2
2025-04,av,av:avira,1
2025-06,av,av:avira,1
2024-08,av,av:bitdefender,2
2024-09,av,av:bitdefender,4
2024-10,av,av:bitdefender,3
2024-11,av,av:bitdefender,2
2024-12,av,av:bitdefender,1
2025-01,av,av:bitdefender,17
2025-02,av,av:bitdefender,3
2025-04,av,av:bitdefender,2
2025-05,av,av:bitdefender,1
2025-06,av,av:bitdefender,1
2025-07,av,av:bitdefender,1
2025-08,av,av:bitdefender,49
2025-09,av,av:bitdefender,4
2025-10,av,av:bitdefender,4
2025-11,av,av:bitdefender,5
2025-12,av,av:bitdefender,2
2026-02,av,av:bitdefender,1
2026-03,av,av:bitdefender,7
2026-04,av,av:bitdefender,1
2026-05,av,av:bitdefender,2
2026-06,av,av:bitdefender,2
2026-07,av,av:bitdefender,2
2024-12,av,av:comodo,1
2025-09,av,av:comodo,1
2026-05,av,av:comodo,1
2024-08,av,av:defender,11
2024-09,av,av:defender,4
2024-10,av,av:defender,1
2024-11,av,av:defender,9
2024-12,av,av:defender,2
2025-01,av,av:defender,1
2025-02,av,av:defender,3
2025-03,av,av:defender,1
2025-04,av,av:defender,2
2025-05,av,av:defender,2
2025-07,av,av:defender,3
2025-08,av,av:defender,3
2025-09,av,av:defender,2
2025-10,av,av:defender,2
2025-11,av,av:defender,2
2026-02,av,av:defender,1
2026-03,av,av:defender,2
2026-04,av,av:defender,1
2026-05,av,av:defender,4
2026-06,av,av:defender,4
2024-08,av,av:eset,3
2024-11,av,av:eset,3
2025-02,av,av:eset,2
2025-03,av,av:eset,1
2025-08,av,av:eset,1
2025-12,av,av:eset,1
