period,dim,value,count
2023-Q4,av,av:avast,12
2024-Q1,av,av:avast,12
2024-Q2,av,av:avast,5
2024-Q3,av,av:avast,6
2024-Q4,av,av:avast,7
2025-Q1,av,av:avast,10
2025-Q2,av,av:avast,4
2025-Q3,av,av:avast,3
2025-Q4,av,av:avast,7
2026-Q1,av,av:avast,5
2026-Q2,av,av:avast,8
2026-Q3,av,av:avast,2
2023-Q4,av,av:avira,1
2025-Q2,av,av:avira,2
2023-Q4,av,av:bitdefender,5
2024-Q1,av,av:bitdefender,4
2024-Q2,av,av:bitdefender,1
2024-Q3,av,av:bitdefender,9
2024-Q4,av,av:bitdefender,6
2025-Q1,av,av:bitdefender,20
2025-Q2,av,av:bitdefender,4
2025-Q3,av,av:bitdefender,54
2025-Q4,av,av:bitdefender,11
2026-Q1,av,av:bitdefender,8
2026-Q2,av,av:bitdefender,5
2026-Q3,av,av:bitdefender,2
2024-Q2,av,av:clamav,1
2026-Q2,av,av:clamav,1
2023-Q4,av,av:comodo,2
2024-Q2,av,av:comodo,2
2024-Q3,av,av:comodo,1
2024-Q4,av,av:comodo,1
2025-Q3,av,av:comodo,1
2026-Q2,av,av:comodo,1
2023-Q4,av,av:defender,12
2024-Q1,av,av:defender,15
2024-Q2,av,av:defender,9
2024-Q3,av,av:defender,19
2024-Q4,av,av:defender,12
2025-Q1,av,av:defender,5
2025-Q2,av,av:defender,4
2025-Q3,av,av:defender,8
2025-Q4,av,av:defender,4
2026-Q1,av,av:defender,3
2026-Q2,av,av:defender,9
2026-Q3,av,av:defender,1
2023-Q4,av,av:eset,6
2024-Q1,av,av:eset,2
2024-Q3,av,av:eset,4
2024-Q4,av,av:eset,3
2025-Q1,av,av:eset,3
2025-Q3,av,av:eset,1
2025-Q4,av,av:eset,1
2026-Q1,av,av:eset,3
2026-Q2,av,av:eset,2
2026-Q3,av,av:eset,1
2024-Q4,av,av:fsecure,1
2026-Q2,av,av:fsecure,1
2023-Q4,av,av:gdata,1
2024-Q3,av,av:gdata,2
2024-Q4,av,av:gdata,1
2025-Q1,av,av:gdata,2
2025-Q2,av,av:gdata,2
2025-Q3,av,av:gdata,1
2025-Q4,av,av:gdata,2
2026-Q1,av,av:gdata,1
2025-Q2,av,av:iobit,1
2025-Q4,av,av:iobit,1
2025-Q1,av,av:k7,1
2023-Q4,av,av:kaspersky,5
2024-Q1,av,av:kaspersky,3
2024-Q2,av,av:kaspersky,1
2024-Q3,av,av:kaspersky,6
2024-Q4,av,av:kaspersky,4
2025-Q1,av,av:kaspersky,3
2025-Q2,av,av:kaspersky,5
2025-Q3,av,av:kaspersky,4
2025-Q4,av,av:kaspersky,2
2026-Q1,av,av:kaspersky,1
2023-Q4,av,av:malwarebytes,2
2024-Q1,av,av:malwarebytes,3
2024-Q2,av,av:malwarebytes,2
2024-Q3,av,av:malwarebytes,5
2024-Q4,av,av:malwarebytes,3
2025-Q1,av,av:malwarebytes,1
2025-Q2,av,av:malwarebytes,1
2025-Q3,av,av:malwarebytes,3
2025-Q4,av,av:malwarebytes,5
2026-Q2,av,av:malwarebytes,5
2023-Q4,av,av:mcafee,3
2024-Q1,av,av:mcafee,1
2024-Q2,av,av:mcafee,1
2024-Q4,av,av:mcafee,6
2025-Q1,av,av:mcafee,3
2025-Q2,av,av:mcafee,6
2025-Q3,av,av:mcafee,6
2025-Q4,av,av:mcafee,3
2026-Q1,av,av:mcafee,2
2026-Q2,av,av:mcafee,5
2023-Q4,av,av:norton,6
2024-Q1,av,av:norton,4
2024-Q2,av,av:norton,12
2024-Q3,av,av:norton,19
2024-Q4,av,av:norton,15
2025-Q1,av,av:norton,20
2025-Q2,av,av:norton,6
2025-Q3,av,av:norton,18
2025-Q4,av,av:norton,7
2026-Q1,av,av:norton,5
2026-Q2,av,av:norton,8
2026-Q3,av,av:norton,1
2023-Q4,av,av:panda,1
2024-Q2,av,av:pcmatic,1
2026-Q1,av,av:pcmatic,1
2024-Q3,av,av:qihoo360,1
2025-Q3,av,av:qihoo360,1
2024-Q1,av,av:sophos,1
2024-Q3,av,av:sophos,1
2023-Q4,av,av:surfshark,2
2024-Q2,av,av:surfshark,1
2024-Q3,av,av:surfshark,1
2025-Q1,av,av:surfshark,1
2025-Q3,av,av:surfshark,1
2025-Q4,av,av:surfshark,1
2026-Q1,av,av:surfshark,1
2026-Q2,av,av:surfshark,2
2024-Q3,av,av:totalav,1
2026-Q1,av,av:totalav,1
2024-Q3,av,av:trendmicro,1
2025-Q4,av,av:trendmicro,1
2026-Q2,av,av:trendmicro,2
2024-Q1,av,av:vipre,1
2025-Q1,av,av:webroot,1
2025-Q3,av,av:webroot,1
2024-Q1,av,av:zonealarm,1
2024-Q3,av,av:zonealarm,1
2024-Q4,av,av:zonealarm,2
2025-Q1,av,av:zonealarm,1
2025-Q4,av,av:zonealarm,1
2023-Q4,macos_release,macos:big_sur,10
2024-Q1,macos_release,macos:big_sur,6
2024-Q2,macos_release,macos:big_sur,4
2024-Q3,macos_release,macos:big_sur,3
2024-Q4,macos_release,macos:big_sur,1
2025-Q1,macos_release,macos:big_sur,1
2025-Q3,macos_release,macos:big_sur,1
2026-Q1,macos_release,macos:big_sur,3
2023-Q4,macos_release,macos:catalina,5
2024-Q1,macos_release,macos:catalina,3
2024-Q2,macos_release,macos:catalina,4
2024-Q3,macos_release,macos:catalina,5
2024-Q4,macos_release,macos:catalina,7
2025-Q1,macos_release,macos:catalina,4
2025-Q2,macos_release,macos:catalina,2
2025-Q3,macos_release,macos:catalina,15
2025-Q4,macos_release,macos:catalina,2
2026-Q1,macos_release,macos:catalina,2
2026-Q2,macos_release,macos:catalina,2
2024-Q1,macos_release,macos:el_capitan,1
2024-Q2,macos_release,macos:el_capitan,1
2024-Q3,macos_release,macos:el_capitan,1
2025-Q3,macos_release,macos:el_capitan,1
2023-Q4,macos_release,macos:high_sierra,3
2024-Q1,macos_release,macos:high_sierra,3
2024-Q2,macos_release,macos:high_sierra,2
2024-Q3,macos_release,macos:high_sierra,4
2024-Q4,macos_release,macos:high_sierra,8
2025-Q1,macos_release,macos:high_sierra,5
2025-Q2,macos_release,macos:high_sierra,4
2025-Q3,macos_release,macos:high_sierra,3
2025-Q4,macos_release,macos:high_sierra,2
2026-Q1,macos_release,macos:high_sierra,2
2026-Q2,macos_release,macos:high_sierra,2
2025-Q3,macos_release,macos:leopard,1
2024-Q3,macos_release,macos:lion,1
2025-Q2,macos_release,macos:mavericks,1
2025-Q4,macos_release,macos:mavericks,1
2023-Q4,macos_release,macos:mojave,4
2024-Q1,macos_release,macos:mojave,1
2024-Q3,macos_release,macos:mojave,4
2025-Q1,macos_release,macos:mojave,1
2025-Q3,macos_release,macos:mojave,3
2025-Q4,macos_release,macos:mojave,1
2026-Q1,macos_release,macos:mojave,1
2026-Q2,macos_release,macos:mojave,1
2023-Q4,macos_release,macos:monterey,6
2024-Q1,macos_release,macos:monterey,9
2024-Q2,macos_release,macos:monterey,7
2024-Q3,macos_release,macos:monterey,5
2024-Q4,macos_release,macos:monterey,6
2025-Q1,macos_release,macos:monterey,8
2025-Q2,macos_release,macos:monterey,2
2025-Q3,macos_release,macos:monterey,4
2025-Q4,macos_release,macos:monterey,3
2026-Q1,macos_release,macos:monterey,1
2026-Q2,macos_release,macos:monterey,2
2024-Q3,macos_release,macos:sequoia,5
2024-Q4,macos_release,macos:sequoia,25
2025-Q1,macos_release,macos:sequoia,36
2025-Q2,macos_release,macos:sequoia,18
2025-Q3,macos_release,macos:sequoia,37
2025-Q4,macos_release,macos:sequoia,15
2026-Q1,macos_release,macos:sequoia,13
2026-Q2,macos_release,macos:sequoia,5
2026-Q3,macos_release,macos:sequoia,2
2024-Q1,macos_release,macos:sierra,1
2025-Q1,macos_release,macos:sierra,1
2025-Q2,macos_release,macos:sierra,1
2026-Q1,macos_release,macos:sierra,1
2026-Q2,macos_release,macos:sierra,1
2023-Q4,macos_release,macos:snow_leopard,1
2024-Q3,macos_release,macos:snow_leopard,1
2023-Q4,macos_release,macos:sonoma,19
2024-Q1,macos_release,macos:sonoma,36
2024-Q2,macos_release,macos:sonoma,27
2024-Q3,macos_release,macos:sonoma,44
2024-Q4,macos_release,macos:sonoma,14
2025-Q1,macos_release,macos:sonoma,5
2025-Q2,macos_release,macos:sonoma,1
2025-Q3,macos_release,macos:sonoma,1
2025-Q4,macos_release,macos:sonoma,7
2026-Q1,macos_release,macos:sonoma,6
2026-Q2,macos_release,macos:sonoma,3
2026-Q3,macos_release,macos:sonoma,1
2025-Q3,macos_release,macos:tahoe,5
2025-Q4,macos_release,macos:tahoe,17
2026-Q1,macos_release,macos:tahoe,16
2026-Q2,macos_release,macos:tahoe,7
2026-Q3,macos_release,macos:tahoe,3
2023-Q4,macos_release,macos:ventura,29
2024-Q1,macos_release,macos:ventura,5
2024-Q2,macos_release,macos:ventura,3
2024-Q3,macos_release,macos:ventura,4
2024-Q4,macos_release,macos:ventura,5
2025-Q1,macos_release,macos:ventura,4
2025-Q2,macos_release,macos:ventura,5
2025-Q3,macos_release,macos:ventura,7
2025-Q4,macos_release,macos:ventura,3
2026-Q1,macos_release,macos:ventura,1
2024-Q1,macos_release,macos:yosemite,1
2024-Q2,macos_release,macos:yosemite,1
2023-Q4,mail_provider,m:alice_it,2
2024-Q1,mail_provider,m:alice_it,3
2024-Q2,mail_provider,m:alice_it,1
2024-Q3,mail_provider,m:alice_it,6
2024-Q4,mail_provider,m:alice_it,8
2025-Q1,mail_provider,m:alice_it,4
2025-Q3,mail_provider,m:alice_it,5
2026-Q1,mail_provider,m:alice_it,4
2026-Q2,mail_provider,m:alice_it,4
2023-Q4,mail_provider,m:att,35
2024-Q1,mail_provider,m:att,9
2024-Q2,mail_provider,m:att,38
2024-Q3,mail_provider,m:att,34
2024-Q4,mail_provider,m:att,36
2025-Q1,mail_provider,m:att,32
2025-Q2,mail_provider,m:att,19
2025-Q3,mail_provider,m:att,37
2025-Q4,mail_provider,m:att,24
2026-Q1,mail_provider,m:att,19
2026-Q2,mail_provider,m:att,9
2026-Q3,mail_provider,m:att,1
