period,headline,version_major,cause_dim,cause_value,observed,version_total_period,cause_rate_overall,expected,lift,novelty,cause_prior_periods,pair_prior_periods,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2026-09-07,v155 x m:virginmedia: 4 questions (18x expected),155,mail_provider,m:virginmedia,4,94,0.0024,0.23,17.7,new,0,0,25,3,5.2,1602682 1602701 1602752 1603241,https://support.mozilla.org/questions/1602682 https://support.mozilla.org/questions/1602701 https://support.mozilla.org/questions/1602752 https://support.mozilla.org/questions/1603241,Login to server pop3.virginmedia.com with username ******* f | read emails for dryborough@ntlworld.com | Thunderbird says no new messages | lost all  virgin media and gmail account settings
2026-07-06,v140 x feat:search: 5 questions (13x expected),140,feature,feat:search,5,40,0.0099,0.39,12.7,new,0,0,100,0,2.6,1591417 1591550 1591650 1592237 1592460,https://support.mozilla.org/questions/1591417 https://support.mozilla.org/questions/1591550 https://support.mozilla.org/questions/1591650 https://support.mozilla.org/questions/1592237 https://support.mozilla.org/questions/1592460,"How to prevent Thunderbird message search (ctrl+F) from cont | Copying a saved search in Thunderbird | Searching by domain - issue? | Before the last update to TB I could easily search for a sin | Can I create a search based on text in the ""message source""?"
2026-06-01,v151 x m:icloud: 4 questions (9x expected),151,mail_provider,m:icloud,4,68,0.0065,0.44,9.1,new,0,0,25,3,9.2,1585107 1585187 1585720 1585786,https://support.mozilla.org/questions/1585107 https://support.mozilla.org/questions/1585187 https://support.mozilla.org/questions/1585720 https://support.mozilla.org/questions/1585786,Cannot use thunderbird to access my mac.com emails | Can't send email anymore | iCloud Calendar Not Adding Events - using app specific passw | Thunderbird 151.0.1 (64 Bit) Windows 10; an error occurred w
2026-08-17,v154 x feat:printing: 7 questions (8x expected),154,feature,feat:printing,7,63,0.0135,0.85,8.2,new,0,0,43,4,3.2,1599257 1599261 1599285 1599333 1599495 1599560 1599691,https://support.mozilla.org/questions/1599257 https://support.mozilla.org/questions/1599261 https://support.mozilla.org/questions/1599285 https://support.mozilla.org/questions/1599333 https://support.mozilla.org/questions/1599495 https://support.mozilla.org/questions/1599560 https://support.mozilla.org/questions/1599691,Print emails | Perchè non si riesce a stampare diretta mente da Thunderbird | PDF attachments now blank when printed.  Worked great til to | can not print attachments | Thunderbird can't print files
2026-03-09,v140 x feat:filters: 4 questions (6x expected),140,feature,feat:filters,4,33,0.0209,0.69,5.8,new,0,0,75,1,3.6,1570140 1570141 1570788 1570866,https://support.mozilla.org/questions/1570140 https://support.mozilla.org/questions/1570141 https://support.mozilla.org/questions/1570788 https://support.mozilla.org/questions/1570866,Mail filters | filters stopped working (imap desktop with mobile) | How do I transfer message filters | Come impostare correttamente la codifica caratteri delle ema
2026-03-09,v148 x feat:import_export: 5 questions (4x expected),148,feature,feat:import_export,5,43,0.0279,1.2,4.2,new,0,0,100,0,1.1,1570193 1570363 1570450 1570538 1570750,https://support.mozilla.org/questions/1570193 https://support.mozilla.org/questions/1570363 https://support.mozilla.org/questions/1570450 https://support.mozilla.org/questions/1570538 https://support.mozilla.org/questions/1570750,"Thunderbird import not allowing to ""match names"" on import f | Moving email from GMail to Thunderbird; have GM 'Takeouts; h | Backups using Acronis True Image for Western Digital cannot  | Importing CSV address books does not work properly. | importing pgp keys from Thunderbird on Linux to Thunderbird "
2026-05-18,v140 x m:spectrum: 4 questions (4x expected),140,mail_provider,m:spectrum,4,46,0.0214,0.98,4.1,new,0,0,75,1,2.9,1582358 1582537 1583227 1583421,https://support.mozilla.org/questions/1582358 https://support.mozilla.org/questions/1582537 https://support.mozilla.org/questions/1583227 https://support.mozilla.org/questions/1583421,"unable to send or recieve emails from roadrunner | Thunderbird suddenly can't connect with my email server to s | I have deleted my out-of-date password for Spectrum but when | ""Thunderbird can't connect to the server"" Part 2"
2026-03-09,v148 x feat:attachments: 4 questions (4x expected),148,feature,feat:attachments,4,43,0.0236,1.01,3.9,new,0,0,25,3,5.4,1569920 1570028 1570066 1570393,https://support.mozilla.org/questions/1569920 https://support.mozilla.org/questions/1570028 https://support.mozilla.org/questions/1570066 https://support.mozilla.org/questions/1570393,"email attachments not saved when filenames are similar | email attachments not saved when filenames are similar | When downloading email from Yahoo mail, attachments do not a | There is no send, attach, or save buttons"
2026-02-23,v148 x proto:oauth: 7 questions (4x expected),148,protocol,proto:oauth,7,63,0.0281,1.77,3.9,new,0,0,100,0,4.4,1567488 1567691 1567818 1567961 1568282 1568434 1568506,https://support.mozilla.org/questions/1567488 https://support.mozilla.org/questions/1567691 https://support.mozilla.org/questions/1567818 https://support.mozilla.org/questions/1567961 https://support.mozilla.org/questions/1568282 https://support.mozilla.org/questions/1568434 https://support.mozilla.org/questions/1568506,dossier envoyés contient seulements le mois en cours | Thunderbird 148.0 breaks AOL authentication | thunderbird update 148 rompe oauth2 de yahoo | Mail sync issue led to Mail disappearing after troubleshooti | Thunderbird suddenly started asking for Crendentials for yah
2026-02-16,v140 x feat:calendar: 4 questions (4x expected),140,feature,feat:calendar,4,33,0.032,1.06,3.8,new,0,0,50,2,12.0,1566048 1566095 1566561 1566630,https://support.mozilla.org/questions/1566048 https://support.mozilla.org/questions/1566095 https://support.mozilla.org/questions/1566561 https://support.mozilla.org/questions/1566630,Filter Calendar events by Category then sort by start | Is there a way to force the calendar to keep an event remind | How do I select a specific calendar to unsubscribe? | How to turn off repeat calendar alerts?
