period,dim,value,count
2023,av,av:avast,36
2024,av,av:avast,30
2025,av,av:avast,24
2026,av,av:avast,13
2023,av,av:avira,3
2025,av,av:avira,2
2023,av,av:bitdefender,20
2024,av,av:bitdefender,20
2025,av,av:bitdefender,89
2026,av,av:bitdefender,15
2023,av,av:comodo,6
2024,av,av:comodo,4
2025,av,av:comodo,1
2026,av,av:comodo,1
2023,av,av:defender,34
2024,av,av:defender,55
2025,av,av:defender,21
2026,av,av:defender,12
2023,av,av:eset,18
2024,av,av:eset,9
2025,av,av:eset,5
2026,av,av:eset,5
2023,av,av:fsecure,1
2024,av,av:fsecure,1
2026,av,av:fsecure,1
2023,av,av:kaspersky,17
2024,av,av:kaspersky,14
2025,av,av:kaspersky,14
2026,av,av:kaspersky,1
2023,av,av:malwarebytes,18
2024,av,av:malwarebytes,13
2025,av,av:malwarebytes,10
2026,av,av:malwarebytes,5
2023,av,av:mcafee,9
2024,av,av:mcafee,8
2025,av,av:mcafee,18
2026,av,av:mcafee,7
2023,av,av:norton,21
2024,av,av:norton,50
2025,av,av:norton,50
2026,av,av:norton,13
2023,av,av:sophos,2
2024,av,av:sophos,2
2024,av,av:trendmicro,1
2023,av,av:zonealarm,3
2024,av,av:zonealarm,4
2025,av,av:zonealarm,2
2023,isp,isp:att,95
2024,isp,isp:att,116
2025,isp,isp:att,111
2026,isp,isp:att,28
2023,isp,isp:bell,14
2024,isp,isp:bell,15
2025,isp,isp:bell,16
2026,isp,isp:bell,8
2023,isp,isp:btinternet,36
2024,isp,isp:btinternet,59
2025,isp,isp:btinternet,40
2026,isp,isp:btinternet,23
2023,isp,isp:centurylink,20
2024,isp,isp:centurylink,14
2025,isp,isp:centurylink,26
2026,isp,isp:centurylink,7
2023,isp,isp:comcast,117
2024,isp,isp:comcast,220
2025,isp,isp:comcast,189
2026,isp,isp:comcast,65
2023,isp,isp:cox,21
2024,isp,isp:cox,101
2025,isp,isp:cox,22
2026,isp,isp:cox,2
2023,isp,isp:freenet,1
2024,isp,isp:freenet,1
2025,isp,isp:freenet,5
2026,isp,isp:freenet,1
2023,isp,isp:frontier,25
2024,isp,isp:frontier,15
2025,isp,isp:frontier,10
2026,isp,isp:frontier,4
2023,isp,isp:mediacom,3
2024,isp,isp:mediacom,1
2025,isp,isp:mediacom,1
2026,isp,isp:mediacom,3
2023,isp,isp:optimum,24
2024,isp,isp:optimum,16
2025,isp,isp:optimum,9
2026,isp,isp:optimum,6
2023,isp,isp:orange,17
2024,isp,isp:orange,39
2025,isp,isp:orange,64
2026,isp,isp:orange,19
2023,isp,isp:rogers,6
2024,isp,isp:rogers,18
2025,isp,isp:rogers,14
2026,isp,isp:rogers,14
2023,isp,isp:shaw,18
2024,isp,isp:shaw,28
2025,isp,isp:shaw,19
2026,isp,isp:shaw,15
2023,isp,isp:spectrum,133
2024,isp,isp:spectrum,156
2025,isp,isp:spectrum,142
2026,isp,isp:spectrum,75
2023,isp,isp:telus,4
2024,isp,isp:telus,8
2025,isp,isp:telus,9
2026,isp,isp:telus,1
2023,isp,isp:tonline,12
2024,isp,isp:tonline,16
2025,isp,isp:tonline,22
2026,isp,isp:tonline,15
2023,isp,isp:verizon,35
2024,isp,isp:verizon,55
2025,isp,isp:verizon,42
2026,isp,isp:verizon,7
2023,isp,isp:windstream,10
2024,isp,isp:windstream,6
2025,isp,isp:windstream,11
2026,isp,isp:windstream,6
2023,macos_release,macos:big_sur,21
2024,macos_release,macos:big_sur,14
2025,macos_release,macos:big_sur,2
2026,macos_release,macos:big_sur,3
2023,macos_release,macos:catalina,27
2024,macos_release,macos:catalina,19
2025,macos_release,macos:catalina,23
2026,macos_release,macos:catalina,4
2023,macos_release,macos:el_capitan,1
2024,macos_release,macos:el_capitan,3
2025,macos_release,macos:el_capitan,1
2023,macos_release,macos:high_sierra,8
2024,macos_release,macos:high_sierra,17
2025,macos_release,macos:high_sierra,14
2026,macos_release,macos:high_sierra,4
2025,macos_release,macos:leopard,1
2024,macos_release,macos:lion,1
2025,macos_release,macos:mavericks,2
2023,macos_release,macos:mojave,10
2024,macos_release,macos:mojave,5
2025,macos_release,macos:mojave,5
2026,macos_release,macos:mojave,2
2023,macos_release,macos:monterey,35
2024,macos_release,macos:monterey,27
2025,macos_release,macos:monterey,17
2026,macos_release,macos:monterey,3
2024,macos_release,macos:sequoia,30
2025,macos_release,macos:sequoia,106
2026,macos_release,macos:sequoia,18
2023,macos_release,macos:sierra,1
2024,macos_release,macos:sierra,1
2025,macos_release,macos:sierra,2
2026,macos_release,macos:sierra,2
2023,macos_release,macos:snow_leopard,1
2024,macos_release,macos:snow_leopard,1
2023,macos_release,macos:sonoma,22
2024,macos_release,macos:sonoma,121
