category,num_questions,question_ids
Other/Uncategorized,25,1567594;1564492;1563808;1565387;1564418;1566069;1565584;1564161;1564420;1563834;1564142;1566558;1567344;1563609;1563370;1563798;1563773;1567086;1564424;1563819;1566245;1565485;1563431;1564354;1567977
Search/Filter/View Issues,17,1563607;1565904;1564352;1565489;1566262;1566003;1567723;1563336;1566901;1566444;1567624;1567041;1564419;1565436;1563764;1567413;1567885
Profile/Installation Issues,14,1565914;1567645;1564460;1567757;1564378;1565308;1567577;1564612;1563628;1567419;1565296;1564301;1568203;1565646
Misclassified (Not Missing Emails/Folders),10,1565806;1567779;1566102;1565311;1564886;1567586;1563620;1565499;1565095;1563781
Emails/Folders Disappeared,9,1567109;1567472;1566436;1565928;1565598;1567824;1565414;1565288;1564141
Local Folders,5,1565720;1563591;1566701;1564811;1565856
Trash/Deleted Folder,4,1563680;1565447;1564021;1564385
Archive Related,4,1566540;1566298;1568170;1566851
Sent Folder Issues,3,1568161;1564677;1563357
All Emails Disappeared,3,1564165;1567610;1563593
Junk/Spam Folder,3,1565195;1564097;1563272
Draft Folder Issues,2,1564500;1568251
Compact Folder Related,2,1564229;1564826
Folder Structure Issues,2,1567632;1567702
After Update/Upgrade,1,1564148
