category,2026-02_count,2026-03_count,change,pct_change
Search/Filter/View Issues,17,8,-9,-52.9%
Profile/Installation Issues,14,7,-7,-50.0%
Other/Uncategorized,25,19,-6,-24.0%
Local Folders,5,1,-4,-80.0%
Junk/Spam Folder,3,0,-3,-100.0%
Trash/Deleted Folder,4,2,-2,-50.0%
After Update/Upgrade,1,3,2,+200.0%
Misclassified (Not Missing Emails/Folders),10,12,2,+20.0%
Folder Structure Issues,2,0,-2,-100.0%
Archive Related,4,3,-1,-25.0%
Compact Folder Related,2,1,-1,-50.0%
Sent Folder Issues,3,4,1,+33.3%
Draft Folder Issues,2,1,-1,-50.0%
All Emails Disappeared,3,3,0,+0.0%
Emails/Folders Disappeared,9,9,0,+0.0%
