date,num-gmail-matches-2026-03-01_to_2026-03-31,num-gmail-matches-2026-01-29_to_2026-02-28,num-protonmail-matches-2026-03-01_to_2026-03-31,num-protonmail-matches-2026-01-29_to_2026-02-28,num-microsoft_hosted_email-matches-2026-03-01_to_2026-03-31,num-microsoft_hosted_email-matches-2026-01-29_to_2026-02-28,2026-03-01_to_2026-03-31-gmail-matching-ids,2026-01-29_to_2026-02-28-gmail-matching-ids,2026-03-01_to_2026-03-31-protonmail-matching-ids,2026-01-29_to_2026-02-28-protonmail-matching-ids,2026-03-01_to_2026-03-31-microsoft_hosted_email-matching-ids,2026-01-29_to_2026-02-28-microsoft_hosted_email-matching-ids
2026-03-01,5,7,0,0,0,0,1568372;1568404;1568430;1568434;1568455,1562438;1562608;1562760;1562791;1562884;1562888;1562912,,,,
2026-03-02,8,7,0,1,0,0,1568404;1568427;1568458;1568468;1568499;1568617;1568645;1568646,1562608;1562965;1562988;1563030;1563051;1563054;1563063,,1563063,,
2026-03-03,5,7,0,2,0,0,1568434;1568506;1568712;1568759;1568887,1561552;1562866;1563051;1563063;1563076;1563113;1563189,,1563063;1563117,,
2026-03-04,7,6,1,1,0,0,1568851;1568970;1569004;1569006;1569012;1569057;1569083,1561552;1563228;1563229;1563257;1563275;1563277,1568920,1563063,,
2026-03-05,7,7,0,0,0,0,1564330;1569106;1569126;1569179;1569189;1569196;1569215,1563277;1563343;1563402;1563427;1563475;1563541;1563576,,,,
2026-03-06,4,7,0,0,0,0,1564330;1569154;1569393;1569398,1563443;1563577;1563585;1563586;1563587;1563684;1563692,,,,
2026-03-07,5,8,1,0,0,0,1567103;1569449;1569453;1569509;1569583,1563576;1563655;1563789;1563791;1563797;1563854;1563918;1563953,1569473,,,
2026-03-08,7,11,0,0,0,0,1567103;1569448;1569724;1569763;1569764;1569787;1569790,1563585;1563961;1563978;1563989;1563998;1563999;1564019;1564028;1564066;1564112;1564113,,,,
2026-03-09,11,6,1,0,0,0,1569006;1569095;1569155;1569189;1569715;1569724;1569815;1569838;1569858;1569912;1569978,1564028;1564113;1564182;1564188;1564208;1564299,1569826,,,
2026-03-10,9,8,0,0,0,0,1569453;1569649;1570002;1570005;1570054;1570139;1570140;1570147;1570151,1563585;1564055;1564337;1564351;1564356;1564392;1564405;1564491,,,,
2026-03-11,2,6,0,0,0,0,1569649;1570214,1564351;1564392;1564405;1564556;1564628;1564647,,,,
2026-03-12,10,6,0,0,0,0,1569453;1569649;1570326;1570345;1570363;1570406;1570438;1570447;1570484;1570540,1562947;1564637;1564647;1564675;1564817;1564818,,,,
2026-03-13,6,4,0,0,0,0,1569453;1570187;1570556;1570563;1570577;1570581,1564556;1564842;1564869;1564871,,,,
2026-03-14,2,8,0,0,0,0,1570713;1570789,1564351;1564894;1565085;1565122;1565165;1565166;1565212;1565216,,,,
2026-03-15,4,7,0,0,0,0,1570874;1570975;1570995;1571025,1564351;1564894;1565212;1565223;1565294;1565315;1565371,,,,
2026-03-16,6,7,1,0,0,0,1570691;1571025;1571026;1571039;1571079;1571081,1564894;1565009;1565212;1565410;1565447;1565498;1565540,1571039,,,
2026-03-17,3,5,0,0,0,0,1569453;1571220;1571361,1564802;1564894;1565581;1565662;1565722,,,,
2026-03-18,4,4,0,0,0,0,1571253;1571385;1571527;1571531,1565662;1565771;1565815;1565860,,,,
2026-03-19,7,8,0,0,0,0,1571481;1571531;1571597;1571666;1571697;1571698;1571717,1564556;1565009;1565815;1565860;1566016;1566017;1566028;1566044,,,,
2026-03-20,5,4,1,0,0,0,1571527;1571666;1571816;1571832;1571871,1565815;1566049;1566203;1566222,1571885,,,
2026-03-21,6,3,1,0,0,0,1571900;1571904;1571916;1571958;1572005;1572016,1566249;1566301;1566319,1571885,,,
2026-03-22,11,5,0,0,0,0,1571285;1571448;1571799;1572016;1572022;1572051;1572071;1572076;1572104;1572151;1572169,1566301;1566414;1566523;1566565;1566571,,,,
2026-03-23,7,4,1,0,0,0,1571253;1571698;1571780;1572051;1572210;1572236;1572302,1566301;1566544;1566557;1566751,1571885,,,
2026-03-24,8,3,0,0,0,0,1570381;1571253;1572104;1572236;1572359;1572428;1572448;1572462,1565223;1566876;1566880,,,,
2026-03-25,7,11,0,1,0,0,1572104;1572596;1572597;1572627;1572633;1572644;1572652,1564715;1566319;1566523;1566796;1566861;1566897;1566898;1566902;1566927;1566947;1567046,,1566950,,
2026-03-26,7,4,0,0,0,0,1571253;1571705;1572104;1572169;1572843;1572855;1572894,1566927;1567103;1567161;1567205,,,,
2026-03-27,5,6,0,0,0,0,1572855;1572925;1572977;1573042;1573048,1566523;1566947;1567253;1567330;1567332;1567418,,,,
2026-03-28,9,6,1,0,0,0,1571026;1573147;1573155;1573159;1573186;1573200;1573205;1573237;1573240,1567205;1567443;1567488;1567601;1567642;1567666,1573150,,,
2026-03-29,5,4,0,1,0,0,1573155;1573205;1573295;1573331;1573435,1565223;1567418;1567443;1567752,,1567767,,
2026-03-30,8,5,0,0,0,0,1573435;1573469;1573484;1573560;1573590;1573602;1573614;1573637,1567655;1567916;1567918;1567960;1568007,,,,
2026-03-31,9,4,1,0,0,0,1573646;1573652;1573674;1573774;1573791;1573818;1573847;1573863;1573868,1568075;1568094;1568146;1568147,1573818,,,
