date,num-i_oauth-matches-2026-03-01_to_2026-03-31,num-i_oauth-matches-2026-01-29_to_2026-02-28,2026-03-01_to_2026-03-31-matching-ids,2026-01-29_to_2026-02-28-matching-ids
2026-03-01,5,1,1568282;1568353;1568372;1568390;1568434,1562438
2026-03-02,9,2,1567621;1567741;1567818;1568258;1568499;1568506;1568528;1568617;1568632,1563051;1563053
2026-03-03,6,0,1567621;1568434;1568506;1568617;1568693;1568712,
2026-03-04,3,1,1568506;1568939;1569084,1563053
2026-03-05,3,2,1569084;1569143;1569189,1563277;1563343
2026-03-06,5,0,1568632;1568912;1569335;1569349;1569448,
2026-03-07,4,2,1568632;1569080;1569560;1569577,1563576;1563889
2026-03-08,5,1,1569448;1569577;1569715;1569730;1569782,1563999
2026-03-09,2,3,1569189;1569577,1564028;1564113;1564182
2026-03-10,4,3,1568632;1569453;1570017;1570056,1563585;1564299;1564351
2026-03-11,0,1,,1564556
2026-03-12,2,1,1568917;1570381,1564810
2026-03-13,2,5,1570557;1570558,1564330;1564556;1564871;1564926;1565000
2026-03-14,4,1,1568258;1569730;1570381;1570858,1564330
2026-03-15,1,2,1570925,1564351;1565294
2026-03-16,8,1,1569730;1570558;1570691;1570858;1571020;1571080;1571106;1571138,1565165
2026-03-17,3,1,1571220;1571262;1571285,1565735
2026-03-18,0,0,,
2026-03-19,2,4,1571633;1571717,1564556;1565586;1565828;1565880
2026-03-20,0,0,,
2026-03-21,0,1,,1566247
2026-03-22,1,1,1571285,1566301
2026-03-23,1,4,1571597,1566301;1566557;1566658;1566751
2026-03-24,1,1,1571344,1566810
2026-03-25,0,2,,1566319;1566810
2026-03-26,2,0,1570819;1572321,
2026-03-27,6,2,1571344;1572701;1572966;1572992;1573040;1573069,1567330;1567418
2026-03-28,4,4,1572992;1573165;1573237;1573240,1567205;1567488;1567620;1567621
2026-03-29,4,8,1571328;1572321;1573295;1573333,1567210;1567418;1567621;1567691;1567741;1567744;1567818;1567871
2026-03-30,1,8,1573437,1566865;1567621;1567691;1567741;1567897;1567917;1567959;1567961
2026-03-31,5,3,1573333;1573674;1573679;1573744;1573774,1568124;1568258;1568282
