date,num-i_oauth-matches-range1,num-i_oauth-matches-range2
2026-04-01,0,34
2026-04-02,3,3
2026-04-03,2,9
2026-04-04,0,5
2026-04-05,12,3
2026-04-06,3,4
2026-04-07,2,8
2026-04-08,6,0
2026-04-09,6,3
2026-04-10,1,0
2026-04-11,0,1
2026-04-12,0,3
2026-04-13,0,2
2026-04-14,0,6
2026-04-15,0,4
2026-04-16,0,6
2026-04-17,0,0
2026-04-18,0,5
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,0,0
2026-04-22,0,0
2026-04-23,0,0
2026-04-24,0,0
2026-04-25,0,0
2026-04-26,0,12
2026-04-27,0,6
2026-04-28,0,4
2026-04-29,0,0
2026-04-30,0,8
