date_created_utc,creator,creator_url,version,os,question_id,question_url,question_title,question_content
2026-04-06 03:05,rtmick,https://support.mozilla.org/en-US/user/rtmick/,149.0.1,macOS Tahoe Version26.3.1 (a),1574886,https://support.mozilla.org/questions/1574886,Cannot migrate Thunderbird from Win 11 to MAC,"Having tried more than a dozen sets of downloaded instructions, including those from Mozilla Thunderbird and Apple, I have become increasingly frustrated and convinced that Thunderbird doesn't work on a MAC.  Can you offer any ""official"" instructions?  Thank you! "
2026-04-06 03:34,ThunderbirdUser23987,https://support.mozilla.org/en-US/user/ThunderbirdUser23987/,140.9.0esr-bb20,Windows 10/11,1574888,https://support.mozilla.org/questions/1574888,Search folder keeps disappearing,I have a search saved as a folder.  I use it on my Gmail many times a day and have for a long time.  But in the past week or two it has started disappearing.  I recreate it and it disappears again a few days later.  Any idea what I can do about this? Win11 140.9.0esr-bb20 (64-bit) 
2026-04-06 17:35,auto333masters,https://support.mozilla.org/en-US/user/auto333masters/,,Windows 11,1574962,https://support.mozilla.org/questions/1574962,送受信するとメールボックスにメールを書き込めませんでした。ファイルシステムに書き込み権限があるか、ディスクに十分な空き容量があるか確認してくだとでてきてすべてのメール削除などしましたが解決しません。解決方法教えてください。,受信するとメールボックスにメールを書き込めませんでした。ファイルシステムに書き込み権限があるか、ディスクに十分な空き容量があるか確認してください。の表示がでてしまいます。すべてのメール削除したりしましたが解決できません。どうしたらよいでしょうか？ 
2026-04-08 14:52,tommy2k14,https://support.mozilla.org/en-US/user/tommy2k14/,149.0.1,Windows 11,1575286,https://support.mozilla.org/questions/1575286,Downloads old messages,"Yesterday, downloading emails got stuck because it couldn't download an email. I tried this multiple times and then it said it couldn't connect to my email server. I tried Repairing the individuals folders but the problem persisted. I looked the problem up, and one of the recommendations was to uninstall Thunderbird, the profile folder, and install it again. When I launched it again, it told me it couldn't find a profile, so I went to the app data folder and restored the folder containing my emails etc. I reconnected it to my Yahoo Mail server. I started TB this morning, and it does the same thing. It tries to download 205 emails, when I know I haven't got that many from yesterday. It still gets stuck on email 21, so I close it, open it, close it, open it, in which it checks again, and I go round and round in circles. It is now telling me that it has failed to connect to the Yahoo server. Checking mail through the Yahoo site works fine. I am using TB 149.0.1 on Wiindows 11. "
2026-04-08 15:02,annesweetman49,https://support.mozilla.org/en-US/user/annesweetman49/,,Windows 10,1575290,https://support.mozilla.org/questions/1575290,Why does thunderbird sometimmes not continue after I enter email address and subject.,"I sometimes find that after I have filled in the email address and subject of the email and sometimes start writing the email, it goes back to the original page and I have to start again. "
2026-04-08 15:15,mary.siggi.guhl,https://support.mozilla.org/en-US/user/mary.siggi.guhl/,149.0.2 (32-Bit,Windows 10/11,1575292,https://support.mozilla.org/questions/1575292,Messages could not be written to the mailbox file.,see images 
2026-04-08 17:29,OrbitPost,https://support.mozilla.org/en-US/user/OrbitPost/,149.0.2,Windows 11,1575306,https://support.mozilla.org/questions/1575306,Duplicated emails in unified folder,"New emails to some accounts appear as duplicates in the unified folder.  I suspected it may be connected to the fact I use ""All Mail"" as the archive folder for a Gmail account, but now the problem is happening with a Proton account as well. When I restart Thunderbird, or deactivate and reactivate the Unified folders view, they no longer appear as duplicates. I am using Thunderbird 149.0.2 on Windows 11. The issue started a few weeks ago. Any help would be much appreciated! "
2026-04-08 20:02,alex91,https://support.mozilla.org/en-US/user/alex91/,149.0.2 (64-bit),Windows 11,1575324,https://support.mozilla.org/questions/1575324,file type icon missing in attachment window,"When composing an email and adding an attachment, the file type icon does not appear next to the file name of the attachment. I located this thread: https://support.mozilla.org/en-US/questions/1547712  which seemed to address this and someone hit on the issue--file names that have a space in the name--test file.pdf for example generate the problem. When attaching a file with no spaces in the name, the icon appears. Any further info on this?  Windows 11 personal. Thunderbird v. 149.0.2 (64-bit) Thanks "
2026-04-09 02:17,bgearry1,https://support.mozilla.org/en-US/user/bgearry1/,latest,Windows 11,1575404,https://support.mozilla.org/questions/1575404,Changed password in Google and can't connect gmail to Thunderbird,"Changed Google account password and now get error message ""400"" when trying to use Thunderbird to access email "
2026-04-09 03:27,ROBERTO.CA1960,https://support.mozilla.org/en-US/user/ROBERTO.CA1960/,,Windows 11,1575415,https://support.mozilla.org/questions/1575415,"boa tarde, è desde novembro que com minhas contas de email nao consigo mais enviar seja do thunderbird seja do outlook, o servidor me diz que as configurações que me passou estao coretas e a vivo me diz que nao tem restrição no modem, que pode ser?","como estou escrevendo no cabeçãlho è deste novembro que estou com este problema, meu thunderbird e meu outlook pararam de enviar e mail dizendo que a configuração do meu SMPT esta errada, entrao em contato com o servidor na italia me confirma que a configuaração esta correta e nao e culpa deles, a vivo me responde que nao tem bloqueio  no meu modem, entao pq desde novembro nao consigo mais enviar mail sendo que da web consigo? alguem tem uma resposta? obrigado "
2026-04-09 03:46,mgfox66,https://support.mozilla.org/en-US/user/mgfox66/,,Windows 11,1575416,https://support.mozilla.org/questions/1575416,email on thunderbird does not work only comcast account does work connection is good,I cant not get my email to work iin my thunderbird I know I have a connection so its the program what do I fix ? 
2026-04-09 05:52,Linda85377,https://support.mozilla.org/en-US/user/Linda85377/,149.0.1,Windows 11 (most recent version),1575437,https://support.mozilla.org/questions/1575437,Thunderbird: Login to server pop.centurylink.net with username xxxx failed.,"(Windows 11. Desktop computer. Thunderbird 149.0.1)  Last week, I could no longer log in. ""Login to server pop.centurylink.net with username xxxx failed.""  It had been working perfectly fine prior to a hard drive failure. A couple of weeks ago, a new SSD drive was installed. It was checked by technicians as said to be working fine. Per their directions, I did a sfc /scannow test which revealed no problems with the new drive. Thunderbird worked fine for a couple of weeks with the new drive before the login problems presented. Last week, Centurylink Email chat went offline during normal business hours. The message pop-up said it was NOT normal business hours when it was. I called someone in the Internet Department who checked into it for me, although his department no longer supports email issues. He said there were system issues in the email and chat division which was why the chat was down. This corresponded exactly to the malfunctioning of Thunderbird. The following Monday morning, the email chat was back up and running as was Thunderbird. Once again I could login. It was fine for a few days before it stopped again.  I input the outgoing and incoming server settings as directed by Centurylink. Incoming Mail: Server: pop.centurylink.net; Port: 995; Encryption: SSL/TLS. Outgoing Mail (SMTP) Server: smtp.centurylink.net; Port 587; Encryption: TLS (or 465 with SSL). I had to do a manual configuration because Thunderbird automatically inserted the STARTTLS encryption with the 587 port code.  I reinstalled Thunderbird with no change. I changed my password at the ISP and then reinstalled Thunderbird with the new password. No change.  I turned my non-Microsoft virus software off and the problem persisted. I checked Windows Defender firewall and it allows emails/email programs to go through.  I contacted the Centurylink Email chat  who denied there had every been any ""system issues"". They said that  since I could log into their webmail, that the problem was not on their end but was with my email client. However, sometimes when I log into the Centurylink webmail, literally within seconds it flashes a message box saying my session has expired and I have to log in all over again. That doesn't seem right.  I don't know what else to try. Any help you can offer would be greatly appreciated. "
2026-04-09 18:00,mocoe315,https://support.mozilla.org/en-US/user/mocoe315/,,Windows 11,1575506,https://support.mozilla.org/questions/1575506,アーカイブフォルダのアイコン切替,アーカイブしたメールの保存先のフォルダーを切り替えました。 新フォルダーと旧フォルダーのどちらも，アイコンがボックス型となっております。 旧フォルダーは通常のフォルダーアイコンに戻したいです。 どうすればいいでしょうか。 なお，GmailからIMAPで同期しています。 I’ve changed the folder where archived emails are saved. Both the new folder and the old folder now have box-shaped icons. I’d like to revert the old folder to the standard folder icon. How can I do that? Note: I’m syncing via IMAP from Gmail. 
2026-04-09 19:39,matti.viitanen10,https://support.mozilla.org/en-US/user/matti.viitanen10/,,Windows 11,1575519,https://support.mozilla.org/questions/1575519,acessibility to mail.inet.fi failed,no response to mail.inet.fi while using account matti.viitanen@pp.inet.fi 
2026-04-10 00:44,marth39,https://support.mozilla.org/en-US/user/marth39/,140.9.0esr (64-bit,Windows 11,1575564,https://support.mozilla.org/questions/1575564,Thunderbird won't show or send message. Microsoft suddenly requires a second email address.,"Thunderbird won't work anymore.  Microsoft message requiring that I add another email address in case I can't access email account.  I don't want to use other email address, but there is no other option to this message. "
2026-04-10 02:29,triplek45302,https://support.mozilla.org/en-US/user/triplek45302/,149.0.2,Windows 10 PRO,1575587,https://support.mozilla.org/questions/1575587,"SUDDENLY GETTING ""CONNECTION FAILED""","I HAVE CHANGED NOTHING & CAN LOG ON SERVER WHILE IN  THUNDERBIRD SETTINGS, BUT WHEN ASKING FOR NEW MAIL AM TOLD ""LOGIN TO SERVER WITH (MY EMAIL) FAILED"". THIS IS SUDDEN SINCE UPDATING TO LATEST THUNDERBIRD.  LOGGING ON IN FIREFOX WITH SAME INFO IS FINE! THANKS "
2026-04-10 02:58,tomwerenski,https://support.mozilla.org/en-US/user/tomwerenski/,,Windows 10,1575593,https://support.mozilla.org/questions/1575593,"inbox does not get messages in real time, instead saves and sends day late","inbox does not get messages in real time, instead saves and sends day late "
2026-04-10 09:44,akiko4,https://support.mozilla.org/en-US/user/akiko4/,140.9.1esr (64 ビット,Windows 11,1575631,https://support.mozilla.org/questions/1575631,アカウントエラーが表示されメールが取り込めない,メールを読み込むと「アカウントエラー　メールボックスにメールを書き込めませんでした。ファイルシステムに書き込み権限があるか、ディスクに十分な空き容量があるか確認してください」と表示される。 同アプリで他のメールアカウントでは表示されず、取り込みについても問題はないため、容量に問題はないと思われる。 また別の端末では正しくメールを取り込んでいる。 対処方法を教えてください。 
2026-04-10 17:49,fam.spengler,https://support.mozilla.org/en-US/user/fam.spengler/,140.9.1esr 64-Bit,Windows 11,1575676,https://support.mozilla.org/questions/1575676,Thunderbird lädt keine neuen Mails mehr vom pop3 Postfach herunter,"Thunderbird lädt keine neuen Mails mehr vom pop3 Postfach herunter, aber ständig alte. Beim versuch das Konto neu einzurichten kann Thunderbird keine Einstellungen finden, obwohl die Einstellungen stimmen. Auf dem Handy (Android) werden die Mails einwandfrei heruntergeladen. "
2026-04-11 06:37,sannies1,https://support.mozilla.org/en-US/user/sannies1/,149.0.1 (64 bit),Windows 10,1575769,https://support.mozilla.org/questions/1575769,Thunderbird Newsletter is a blank page containing no body to the letter.,"I donate monthly to Thunderbird and subscribe the the Thunderbird Newsletter.   A few times I have received an email from Thunderbird Newsletter with no letter body to the email - only the header that says, Update Profile""  I need more information than that before I screw up something that is working fine.  A two word header on an email does not provide enough information.  I need to know: What profile - my Thunderbird email profile or is there another one for the Newsletter? If the email is referring to my email profile, why does it needs updating?  Where to update it? Why is there no message in the body of the Newsletter email?  I also would like the link to the Newsletter. Your support articles have no information about resolving this issue. The Thunderbird Newsletter email is a ""no reply."" "
2026-04-11 20:59,Matt_McKee,https://support.mozilla.org/en-US/user/Matt_McKee/,149.0.2,Windows 10,1575857,https://support.mozilla.org/questions/1575857,Enter Password To Download Messages,"Greetings, I'm some insight on having to constantly enter my password (ISP) to download email messages.  Ever since I can remember when I started Thunderbird I would enter my ISP password for my accounts once and it would download the messages as long as Thunderbird was running.  I think after a Thunderbird update, now every 10 minutes when Thunderbird checks for new email messages I'm prompted to enter my ISP password.  I do not tell Thunderbird to remember my password and I'm not sure what has changed to cause this, any insight is appreciated! "
2026-04-11 23:11,firefox2007,https://support.mozilla.org/en-US/user/firefox2007/,149.0.2 (64-bit),Windows 10,1575879,https://support.mozilla.org/questions/1575879,In Thunderbird how to override high contrast colours ?,"Hi, This thread https://support.mozilla.org/en-US/questions/1538723 This is for high contrast theme users such as the greyeve theme (universal windows 10 darkmode theme) Which is the top google result for  ""thunderbird high contrast override"" Has been locked and so I cannot post this reply. Since that thread does not contain a valid usable answer Anyone coming in from google search, here is the answer Go to general -> config editor  and set the following value to 1 browser.display.document_color_use = 1 "
