date_created_utc,elapsed,creator,creator_url,version,os,question_id,question_url,question_title,question_content
2026-05-24 23:59,13d 20h,pike42begap,https://support.mozilla.org/en-US/user/pike42begap/,151.0 (64 bit),Windows 11,1583610,https://support.mozilla.org/questions/1583610,Cannot print event selected from calendar (using Ctrl-P).  Prints first event in the week instead of selected event,"Week starts on Sunday.  Events scheduled for Monday through Thursday.  Select event set for Thursday and Crtl+P.  Print preview shows event scheduled for Monday, not Thursday's event. "
2026-05-25 18:05,13d 1h,cj23,https://support.mozilla.org/en-US/user/cj23/,May 7 or after. ??,Windows 11,1583741,https://support.mozilla.org/questions/1583741,"After changing some settings, all emails printed as plain text only, even past emails.","I started setting up Thunderbird on May 8, after I got my new windows 11 computer. I added 6 of my most important email accounts (different providers). Today, I went through settings to make things better (I thought). Immediately after, all my email accounts (both current & previous messages started printing in plain text only. I tried to fix by going to view, message body as...simple text, restart, then back to original HTML. Then, restart again. All this to no avail. I am sure it is a setting because until today, all were in HTML. "
2026-05-26 05:03,12d 14h,mbitzl,https://support.mozilla.org/en-US/user/mbitzl/,keine Ahnung,Windows 11,1583830,https://support.mozilla.org/questions/1583830,"Ich komme nicht mehr in mein Thunderbird, da ich die App gelöscht hatte und das Passwort angeblich nicht stimmt.","Ich kam nicht mehr in mein Thunderbird. Es hieß immer, dass ich das Passwort brauche. Dieses wurde aber nicht akzeptiert. Bin Laie in den technischen Dingen. Habe die App deinstalliert, da ich mir sicher war, dass das Passwort das richtige ist. Nun wollte ich die App neu intallieren, aber dazu soll ich das Passwort eingeben. Wahrscheinlich hatte ich es doch mal geändert, kann mich aber nicht erinnern, da ich es ja nie mehr brauchte. Jetzt komme ich auf gar nichts mehr, da man das PAsswort eingeben muss und ich erst gar nicht in Thunderbird komme. Wäre aber sehr wichtig, da hier all meine Mails gespeichert sind. "
2026-05-26 09:23,12d 10h,knightd73,https://support.mozilla.org/en-US/user/knightd73/,140.11.0esr,Linux,1583852,https://support.mozilla.org/questions/1583852,all emails for inbox going to deleted folder,Had my computer recently setup linux mint with Thunderbird for my email access. I used the automatic setup to transfer across from Microsoft Hotmail/outlook system.  now all my emails -time sheets pay advice plus plus important emails are now being delivered automatically to deleted file. Not the inbox  I had a file callede archive where I would store all my previous timesheets pay advice these apart from previous month have been deleted - suspect its a automatic clean up after ex many days so thats lost permanently  How can I resolve this issue of the inbox going to deleted file/folder ? 
2026-05-26 14:38,12d 5h,jbassett,https://support.mozilla.org/en-US/user/jbassett/,151.0.1,Microsoft Windows 11,1583896,https://support.mozilla.org/questions/1583896,Thunderbird keeps re-downloading all email/folders for all accounts,"Thunderbird has started acting as if it is the first time being opened after entering in all account info.  All the folders expand down the left side (as if it's just finding them for the first time) and all email is re-downloaded. Thunderbird is up-to-date using 151.0.1 on Microsoft Windows 11. I have setup the same accounts in Microsoft Outlook, the issue is not happening in Outlook. The email server is Ubuntu Linux, Postfix, Dovecot. "
2026-05-26 19:47,12d 0h,rochmike16,https://support.mozilla.org/en-US/user/rochmike16/,140.11.0esr,Windows 11,1583948,https://support.mozilla.org/questions/1583948,"In my subfolders, under All Mail, I had a large file, with many subfolders, full of vital information, thast has disappeared.","I was working busily in Thunderbird email, where I have a number of subfolders under ""All Mail"" where I store replies and such. One of the most important subfolders (which itself has many subfolders) has suddenly disappeared. I've looked manually through other subfolders, to see if I somehow moved it by accident, to no avail. Is there a way to search for a subfolder, or can anyone suggest where it might have gone? "
2026-05-26 20:58,11d 23h,mgh6rcvkbm,https://support.mozilla.org/en-US/user/mgh6rcvkbm/,150.0.2 (aarch64),Mac OS x 10_15_7,1583958,https://support.mozilla.org/questions/1583958,E-mails are gone,"I licked on the bottom for ""Trash mails control"" under ""Tools/Utilities"", and then ""Delete e-mails as Trash in the Map"" by mistake. (I try to translate here, but may be not correct since I just have the program in Norwegian). All mails in Inbox are gone - and I at once checked my Mail Server by One.com - but everything was gone there too. Are there any way to get them back?? Bjørn Vegard [edited email from community support forum] "
2026-05-27 09:54,11d 10h,derrickmullard,https://support.mozilla.org/en-US/user/derrickmullard/,140.9,Windows 11,1584035,https://support.mozilla.org/questions/1584035,Thunderbird inbox saying unable to write email to inbox. please can anyone help,message comes up saying unable to write email to mail box.  make sure file system allows you to write privileges and enough disc space to copy to mailbox.  please can anyone help with this as cant seem to contact thunderbird. many thanks 
2026-05-27 10:44,11d 9h,ronaldmackool,https://support.mozilla.org/en-US/user/ronaldmackool/,151.0.1 64 bit,Windows 11,1584040,https://support.mozilla.org/questions/1584040,can't receive messages since I updated this morning,"I updated Thunderbird this morning now I am not receiving mail, I sent out a group email this morning and I'm not sure if they are going out since I address them to myself and BCC to everyone else. Anyone else having this problem since the update? I use Xfinity as my provider Thanks151.0.1 "
2026-05-27 11:45,11d 8h,flamtour,https://support.mozilla.org/en-US/user/flamtour/,151.0.1,Windows 10,1584049,https://support.mozilla.org/questions/1584049,do not OUTBOX in my Thunderbird email - how do I get that,"need OUTBOX on my thunderbird email - not there - what do I do to access, need to delete an email that do not want to send "
