id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1557895,2025-12-31 21:14:25 -0800,2026-01-02 03:29:56 -0800,en-US,thunderbird,Mozilla Firefox,false,,,false,1790821,1790821;,accessibility,thunderbird;accessibility;,chris.devitt,<p>I am trying to import a iCalander to Firefox 145.01 (64 bit)  but there is no option in the import tab for iCalander only .pst files </p>,chris.devitt;Mapenzi;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",1,0,0,,,
1557902,2025-12-31 21:56:18 -0800,2026-01-01 05:29:15 -0800,en-US,thunderbird,sign up for thunder bird,false,,,false,1790589,1790589;,accessibility,thunderbird;accessibility;,goodworkhuman,<p>how sign up with thunderbird </p>,goodworkhuman;christ1;,false,false,false,;useragent:Mozilla/5.0 (Android 11; Mobile; rv:144.0) Gecko/144.0 Firefox/144.0,1,0,0,,,
1557909,2025-12-31 23:57:26 -0800,2026-01-01 00:46:39 -0800,en-US,thunderbird,crash while installing the account,true,1790526,Anna_matthaei,false,1790527,1790524;1790526;1790527;,app-crash,thunderbird;app-crash;,Anna_matthaei,"<p>Good morning,  </p><p>I want to install my account (GMX) in thunderbird on a mac book air (´11 2015 macOS Monterey 12.7.6) but thunderbird crashes every time, after I put in name, email and password and press enter.  </p><p>bp-aed6c1bc-6b10-4257-a9f4-434400260101 bp-31c768c4-e099-4d79-8c34-c4ec10260101 bp-e5bdae14-6764-478e-9ce9-391750260101 </p><p>Can anyone help me please? </p><p>Best regards Anna </p>",Anna_matthaei;siffemoz;,false,false,false,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36;solver_id:1045561",3,0,0,,,
1557910,2026-01-01 00:50:52 -0800,2026-01-01 08:56:20 -0800,en-US,thunderbird,How does Thunderbird use numbers after each folder?,true,1790587,christ1,false,1790629,1790532;1790533;1790587;1790629;,customization,thunderbird;customization;,mkirlow,<p>Please see image. This one is Windows 11 and I want it to make the same on Linux. Can anyone help? Thanks. </p>,mkirlow;MattAuSupport;christ1;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36;solver_id:6460555",4,0,0,,,
1557929,2026-01-01 04:39:05 -0800,2026-01-01 10:10:19 -0800,cs,thunderbird,Selhání k připojení k serveru.,true,1790640,poljos-moz,false,1790647,1790580;1790586;1790640;1790647;,send-and-receive-email,thunderbird;send-and-receive-email;,blau21212121,"<p>Dobrý den po zadání správnáho hesla, dostávám chybu: Přihlášení k serveru <a href=""http://imap.seznam.cz"" rel=""nofollow"">imap.seznam.cz</a> s uživatelským jménem blau2121@email.cz selhalo. </p>",blau21212121;Ansamb;poljos-moz;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0;solver_id:7301213,4,0,0,,,
1557937,2026-01-01 05:59:02 -0800,2026-01-02 06:04:56 -0800,it,thunderbird,gmail e/o mozilla non permettono l'invio di nuove email,false,,,false,1790852,1790852;,send-and-receive-email,thunderbird;send-and-receive-email;needsinfo;,orione.cassiopea,<p>improvvisamente gmail e/o mozilla non consentono l'invio di email nuove. Si chiedono  chiarimenti in merito </p>,orione.cassiopea;@next;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,1,0,0,,,
1557941,2026-01-01 06:36:31 -0800,2026-01-02 06:03:30 -0800,it,thunderbird,Ho una cartella in local folder che non riesco a eliminare,false,,,false,1790851,1790851;,email-and-messaging,thunderbird;email-and-messaging;,silviob,"<p>La cartella che indico nell'allegato ha una icona diversa da tutte le altre cartelle, non ricordo quando l'ho creata, ora e vuota, mi crea confusione vederla e vorrei cancellarla ma come si vede nell'allegato cliccando con il pulsante destro non c'è una opzione elimina.  Qualcuno mi sa dire come eliminarla/cancellarla? Grazie </p>",silviob;@next;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",1,0,0,,,
1557945,2026-01-01 07:00:18 -0800,2026-01-01 08:05:22 -0800,en-US,thunderbird,copy account from one computer to another,false,,,false,1790622,1790622;,import-and-export-email,thunderbird;import-and-export-email;,Tony_Aston,"<p>I have a MacBook Air and an iMac desk top computer. There are 6 email accounts on the MacBook Air and 4 on the iMac. I am using Thunderbird MacBook Air 115.12.2 (64 bit) and on the iMac 140.6.esr (64 bit). For some reason I am unable to set up the 5th account on the iMac (Wrong password etc) </p><p>Can I just export the 5th account on MacBook Air and import that account on the iMac? The export file (I guess all accounts) is 8.17 GB . </p><p>If I import that file to the iMac will I duplicate the emails already associated with the existing 4 accounts or will I be able to select which account I want to import along with the associated settings and passwords? </p><p>Thank you, Ton Aston </p>",Tony_Aston;davidsk;,false,false,false,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15;kb_visits_prior:[""/en-US/kb/thunderbird-export""]",1,0,0,,,
1557955,2026-01-01 08:11:50 -0800,2026-01-02 08:07:52 -0800,en-US,thunderbird,Can't log into imap account that used to work no problem,true,1790879,john9910,false,1790880,1790671;1790674;1790676;1790683;1790692;1790879;1790880;,send-and-receive-email,thunderbird;send-and-receive-email;,john9910,"<p>For the last two day when I start Thunderbird I get the message ""The current operation on 'Inbox' did not succeed.  The email server for account [edited]@herrinonline.net responded: expecting "")"" instead of ""("". </p><p>This is happening with all 4 email addresses I have. 3 on ionos and 1 on gmail. </p><p>I have checked all the settings for the Ionos webmail server and the Gmail server and they are correct.  I have deleted of of the accounts and recreated it but still get the same message. </p><p>Attached is a capture of the actual error message.  If I try to synch with any of the email addresses I get the same message for that email </p><p>Can you offer any help? </p><p>Thanks, </p><p>John </p>",john9910;davidsk;,false,false,false,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36;solver_id:7301580",7,0,0,,,john9910
1557958,2026-01-01 08:35:25 -0800,2026-01-01 08:35:25 -0800,en-US,thunderbird,help to grow enterprise,false,,,true,,,accessibility,thunderbird;accessibility;,qoncept.creator,<p>need help to grow </p>,qoncept.creator;,false,false,false,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0,0,0,0,,,
