id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,isp,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1438425,2024-02-01T00:12:40.502377Z,2024-02-01,en-US,troubleshooting,fix-problems;,ljlinch,"my email headers are there, but no email content visible. Using Thunderbird Ver.115.7.0",https://support.mozilla.org/questions/1438425,os:windows,,,,,,,,,0,false,,False,
1438430,2024-02-01T01:05:06.256330Z,2024-02-01,en-US,other,other;,JustOne,Unexpected drag and drop function,https://support.mozilla.org/questions/1438430,os:windows,,,,,m:microsoftemail,,,,0,false,,False,
1438433,2024-02-01T01:40:21.197918Z,2024-02-01,en-US,settings,customize;,manmachine78,Move attachments pane back to the top right corner,https://support.mozilla.org/questions/1438433,,,,,,,,,,2,true,8.19,False,
1438445,2024-02-01T04:43:01.948979Z,2024-02-01,en-US,troubleshooting,fix-problems;,werwaks4,cannot send emails - it says outgoing server (SMTP) smtp.telstra.com timed out,https://support.mozilla.org/questions/1438445,,,,,,,,proto:smtp,,1,true,10.08,False,
1438446,2024-02-01T04:57:48.083661Z,2024-02-01,en-US,privacy-and-security,privacy-and-security_1;,pwfpics42,lost password,https://support.mozilla.org/questions/1438446,,,,,,,,,,1,true,7.08,False,
1438456,2024-02-01T08:09:28.299312Z,2024-02-01,en-US,other,other;,MarkFoley,Margins get wider and print column narrower for included messages in threads when printing,https://support.mozilla.org/questions/1438456,os:linux,,,,,,,,,0,false,,False,
1438457,2024-02-01T08:22:02.140442Z,2024-02-01,en-US,troubleshooting,fix-problems;,cwkheard,Cannot open Thunderbird (multiple processes running?),https://support.mozilla.org/questions/1438457,,,,,,,,,,5,true,75.51,True,christ1
1438462,2024-02-01T09:15:43.834239Z,2024-02-01,it,settings,customize;,robgenn1966,Selezione Multipla Cartelle,https://support.mozilla.org/questions/1438462,,,,,,,,,,3,true,10.25,False,
1438464,2024-02-01T09:51:26.170078Z,2024-02-01,en-US,other,other;,garywlama,Emoji in incoming email,https://support.mozilla.org/questions/1438464,,,,,,,,,,2,true,4.84,True,shopov.bogomil
1438465,2024-02-01T09:57:23.751744Z,2024-02-01,en-US,other,other;,nikyriazidis,THUNDERBIRD INBOX DOES NOT DISPLAY SENDERS NAME FROM CONTACTS,https://support.mozilla.org/questions/1438465,,,,,,,,,,6,true,4.8,False,
1438469,2024-02-01T10:54:17.897501Z,2024-02-01,en-US,other,other;,hans_peter,Where are my passwords?,https://support.mozilla.org/questions/1438469,,,,,,,,,,3,true,1.19,True,davidsk
1438470,2024-02-01T11:01:52.414016Z,2024-02-01,en-US,troubleshooting,fix-problems;,sinead.lash,Thunderbird not loading message content,https://support.mozilla.org/questions/1438470,,,,,,,,,,1,false,,True,sinead.lash
1438476,2024-02-01T13:06:33.534839Z,2024-02-01,en-US,other,other;,gregrogers9999,"Cannot increase font size, other than to change monitor resolution.  (View, Font Size, Increase/Decrease doesn't work)",https://support.mozilla.org/questions/1438476,,,,,,,,,,8,true,0.86,False,
1438477,2024-02-01T13:30:37.116300Z,2024-02-01,en-US,other,other;,gullie.rosenlund,E-posten,https://support.mozilla.org/questions/1438477,,,,,,,,,,0,false,,False,
1438478,2024-02-01T13:59:25.226110Z,2024-02-01,en-US,settings,customize;,ws5,Thunderbird Beta email service,https://support.mozilla.org/questions/1438478,,,,,,,,,,1,true,0.06,False,
1438481,2024-02-01T14:25:18.641788Z,2024-02-01,en-US,settings,customize;,Carolynrwilliamson,"I change my password, and the next time I try to use it, it won't work",https://support.mozilla.org/questions/1438481,,,,,,,,,,4,true,0.05,False,
1438483,2024-02-01T14:32:21.511868Z,2024-02-01,en-US,other,other;,stollerre,lost email after update to Version 115.7.0,https://support.mozilla.org/questions/1438483,,,,,,,,,,0,false,,False,
1438486,2024-02-01T14:54:17.664816Z,2024-02-01,en-US,other,other;,basinilya,Conversation View should only display messages belonging to same Mail Account,https://support.mozilla.org/questions/1438486,,,,,,,,,,1,true,23.15,False,
1438489,2024-02-01T15:17:00.731955Z,2024-02-01,en-US,other,other;needsinfo;,publisher7,Thunderbird inbox issues,https://support.mozilla.org/questions/1438489,,,,,,,,,,1,true,0.5,False,
1438490,2024-02-01T15:19:02.825995Z,2024-02-01,en-US,other,other;,psmith4,Replying to messages,https://support.mozilla.org/questions/1438490,,,,,,,,,,0,false,,False,
1438496,2024-02-01T17:06:26.636619Z,2024-02-01,it,settings,customize;,tematre,Macosx inviare allegato email tramite tasto destro del Finder,https://support.mozilla.org/questions/1438496,os:macos,,,,,,,,,1,true,2.46,False,
