id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1472264,2024-11-01T00:28:52.631884Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,ammoguide,"31,000 msgs in inbox.  Can only delete one-at-a-time.  HELP!",https://support.mozilla.org/questions/1472264,,,,,,,,,1,false,,True,ammoguide
1472279,2024-11-01T06:33:11.683848Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,lestkelly,GMail is crowding out Thunderbird.,https://support.mozilla.org/questions/1472279,,,,,,m:gmail,,,1,true,11.27,False,
1472284,2024-11-01T07:56:03.417410Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,addyjustforregistering,Can't send messages from Thunderbird through Gmail account,https://support.mozilla.org/questions/1472284,,,,,,m:gmail,proto:smtp,,5,true,3.69,False,
1472288,2024-11-01T08:44:44.024347Z,2024-11-01,en-US,performance-and-connectivity,thunderbird;performance-and-connectivity;,mike.android.nz,White Border,https://support.mozilla.org/questions/1472288,,,,,,,,,0,false,,False,
1472295,2024-11-01T10:47:14.114130Z,2024-11-01,en-US,settings,thunderbird;settings;,rob255,I used a filter and template for an out of office - It wont turn off now,https://support.mozilla.org/questions/1472295,,,,,,,,,1,true,16.81,False,
1472297,2024-11-01T11:05:25.754049Z,2024-11-01,en-US,settings,thunderbird;settings;,andrewducker,Is there any way to *always* update my calendar when an invite update is sent?,https://support.mozilla.org/questions/1472297,,,,,,,,,0,false,,False,
1472298,2024-11-01T11:07:29.578949Z,2024-11-01,en-US,installation-and-updates,thunderbird;installation-and-updates;,tscharli101,Unwanted Thunderbird Update,https://support.mozilla.org/questions/1472298,,,,,,,,,4,true,0.54,False,
1472301,2024-11-01T11:31:42.363627Z,2024-11-01,en-US,installation-and-updates,thunderbird;installation-and-updates;,gwen3,How can I delete Thunderbird-Doom Loop,https://support.mozilla.org/questions/1472301,,,,,,,,,0,false,,False,
1472303,2024-11-01T11:39:24.160235Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,peter.bossew,opening .eml files,https://support.mozilla.org/questions/1472303,,,,,,m:gmail,,,2,true,0.06,False,
1472307,2024-11-01T12:01:56.768552Z,2024-11-01,pt-BR,email-and-messaging,thunderbird;email-and-messaging;,paula26,respostas automaticas,https://support.mozilla.org/questions/1472307,,,,,,,,,1,true,104.2,False,
1472316,2024-11-01T12:58:44.303809Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,tash01,thunderbird not working,https://support.mozilla.org/questions/1472316,,,,,,,,,2,true,5.81,False,
1472319,2024-11-01T13:13:20.382589Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,mtbgca,Message Filter Moves but does not delete from all mail,https://support.mozilla.org/questions/1472319,,,,,,,,,0,false,,False,
1472323,2024-11-01T13:33:38.146991Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,xeniaaidonopoulou1971,omg please help! Have i really just lost all of my email?,https://support.mozilla.org/questions/1472323,,,,,,,,,1,true,5.47,False,
1472326,2024-11-01T13:52:57.401336Z,2024-11-01,en-US,fix-problems-email-providers-gmail-yahoo-etc,firefox;passwords-and-sign-in;,Handymanbill,Unknown error message,https://support.mozilla.org/questions/1472326,,,,,,,,,1,true,26.74,False,
1472329,2024-11-01T14:30:20.969364Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,akulu11,Cannot reply to emails,https://support.mozilla.org/questions/1472329,,,,,,m:yahooemail,proto:smtp,,1,true,3.06,False,
1472332,2024-11-01T14:41:32.769933Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,lovemozilla,Synchronization & Storage not visible,https://support.mozilla.org/questions/1472332,,,,,,m:gmail,proto:imap;proto:pop,,9,true,0.16,False,
1472337,2024-11-01T15:07:27.237609Z,2024-11-01,en-US,performance-and-connectivity,thunderbird;performance-and-connectivity;,rick172,email not working,https://support.mozilla.org/questions/1472337,,,,,,,,,1,true,26.37,False,
1472340,2024-11-01T15:23:19.601204Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,joe267,Not getting email from one sender,https://support.mozilla.org/questions/1472340,,,,,,,,,0,false,,False,
1472344,2024-11-01T15:56:02.949272Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,c.tappero,Email copied to local folder empty,https://support.mozilla.org/questions/1472344,,,,,,m:gmail,,,0,false,,False,
1472346,2024-11-01T16:08:42.107783Z,2024-11-01,en-US,installation-and-updates,thunderbird;installation-and-updates;,pgbennet,"stuck in Thunderbird ""restart to upgrade"" doom loop and can no longer use it",https://support.mozilla.org/questions/1472346,os:windows,,,,,,,,5,true,11.34,True,pgbennet
1472348,2024-11-01T16:21:59.568556Z,2024-11-01,en-US,accounts,thunderbird;accounts;,dr.uv,I migrated my profile to a new machine and now the account config is messed up,https://support.mozilla.org/questions/1472348,,,,,,,,,3,true,2.51,False,
1472350,2024-11-01T16:40:29.942785Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,kdysert,Problem with Individual Email Headers,https://support.mozilla.org/questions/1472350,,,,,,,,,1,true,0.53,False,
1472354,2024-11-01T17:01:52.328311Z,2024-11-01,en-US,accounts,thunderbird;accounts;,danielkrol86+getpocket,Log to gmail account,https://support.mozilla.org/questions/1472354,,,,,,m:gmail,,,0,false,,False,
1472359,2024-11-01T17:22:22.248121Z,2024-11-01,nl,email-and-messaging,thunderbird;needsinfo;email-and-messaging;,joopcrum,ik kan geen mail meer verzenden,https://support.mozilla.org/questions/1472359,,,,,,,proto:smtp,,1,true,20.44,False,
1472360,2024-11-01T17:30:29.883753Z,2024-11-01,en-US,installation-and-updates,thunderbird;installation-and-updates;,volker.gloeckel,"Every start of Thunderbird 128.4.0esr on Windows 11 I get the message: ""Zum Ausführen der gewünschten Aktion ist kein E-",https://support.mozilla.org/questions/1472360,os:windows,,,,,,,,2,true,9.92,False,
1472362,2024-11-01T17:43:26.006833Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;tb128slow;,chrivasseur,emails are slow to appear after a click.,https://support.mozilla.org/questions/1472362,,,,,,,,,8,true,15.45,False,
1472364,2024-11-01T18:06:55.003376Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,jackcalligan,Many of my email messages include maformed text (such as the non printing characters associated with a message or page s,https://support.mozilla.org/questions/1472364,,,,,,,,,1,true,0.96,False,
1472373,2024-11-01T19:29:03.875048Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,shelly6,Can't send or receive email from laptop since update on Oct 28th 2024,https://support.mozilla.org/questions/1472373,,,,,,,proto:imap,,1,true,3.07,True,sfhowes
1472378,2024-11-01T21:04:04.534726Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,jep1978,Gmail Inbox on Thunderbird is suddenly empty,https://support.mozilla.org/questions/1472378,os:macos,,macos:high_sierra,,,m:gmail,proto:pop,,1,true,1.31,False,
1472382,2024-11-01T22:30:37.722028Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,galenalldrin,"Thunderbird is slow, ""not responding"" (win7)",https://support.mozilla.org/questions/1472382,os:windows,,,,,,,,2,true,6.33,False,
1472383,2024-11-01T22:46:47.639424Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,greg.jordan,Thunderbird does not start after update,https://support.mozilla.org/questions/1472383,,,,,,,,,6,true,4.52,False,
1472385,2024-11-01T22:50:02.488104Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,petercharuk,Warning Messages,https://support.mozilla.org/questions/1472385,,,,,,m:yahooemail;m:bigpond,proto:smtp,,2,true,19.01,False,
1472386,2024-11-01T22:54:32.808184Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,retainerdirect,How to send other people tasks,https://support.mozilla.org/questions/1472386,,,,,,,,,0,false,,False,
1472387,2024-11-01T23:15:12.109009Z,2024-11-01,en-US,email-and-messaging,thunderbird;email-and-messaging;,dmaxwell1,"Thunderbird Intermittent freezing of ""Reply"" or ""Send Message"" from address book .",https://support.mozilla.org/questions/1472387,os:linux,,,,,,,,3,true,18.29,False,
1472389,2024-11-01T23:46:20.553961Z,2024-11-01,en-US,installation-and-updates,thunderbird;installation-and-updates;,rousea,Address book missing,https://support.mozilla.org/questions/1472389,os:windows,,,,,,,,2,true,5.13,False,
