id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version,firefox_version
1601432,2026-09-01T00:06:32.358205Z,2026-09-01T00:06:32.358210Z,en-US,thunderbird-android,Message body of certain email is empty,False,,,False,,,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,susanw12979,"<p>I use a mail forwarding service, Fastmail, used to be Pobox. The entire body of the message is visible in fastmail, if I log in directly to fastmail. I have my fastmail account set to forward messages to a Gmail account, which is linked to my mobile Thunderbird app. </p><p>The message header appears in that Thunderbird Inbox, but the body is empty. </p><p>I have checked the message size limits in fastmail, gmail, and  the Thunderbird app. They are all at least 10Mb. </p><p>The particular message is only 3.7 Mb total according to details on fastmail. Also not forwarding as attachment  </p><p>Where is the message body? </p><p>Thank you for any suggestions. </p>",susanw12979;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;tb_version:22.0;os:Android;sanitized_product_version:",0,0,0,,,,Android,22.0,
1601450,2026-09-01T02:41:14.371741Z,2026-09-01T10:36:42.109691Z,en-US,thunderbird-android,Trying to change my mail to,False,,,False,1843950.0,1843950;,customization,customization;thunderbird-android;,y4ggzbbz59,<p>Trying to change my send to on my phone. It wants to send to outlook and wanting to change it on my phone only </p>,y4ggzbbz59;platform34;,False,False,False,";useragent:Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/155 Mobile/15E148 Version/26.4;ff_version:155;os:iOS;sanitized_product_version:",1,0,0,,,,iOS,,155.0
1601620,2026-09-01T22:33:12.753747Z,2026-09-02T23:34:52.777280Z,en-US,thunderbird-android,"e-mails won't send. They just remain in outbox. Thunderbird for Android. smtp: smtp.mail.yahoo.co.uk, Security: SSL/TLS, Port: 465, Authentication: OAuth 2.0,, Username: [redacted] @yahoo.co.uk, Certificate: none.",False,,,False,1844490.0,1844127;1844320;1844490;,accessibility,accessibility;thunderbird-android;,trevorwhatmore,<p>All described in the title! </p>,trevorwhatmore;rednoise;christ1;platform34;,False,False,False,";tb_version:22.0;os:Android One UI 8.5;sanitized_product_version:;useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36 OPR/101.0.0.0",3,0,0,,,James,Android One UI 8.5,22.0,
1601947,2026-09-03T13:30:57.998992Z,2026-09-03T15:30:46.870994Z,en-US,thunderbird-android,Import contacts into Thunderbird on Android,True,1844659.0,platform34,False,1844659.0,1844659;,contacts,android;thunderbird-android;contacts;,hennie.schoeman,<p>How do i import contacts.vcf in Thunderbird in Android </p>,hennie.schoeman;platform34;,False,False,False,";solver_id:7089764;useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36;tb_version:22;os:Android;sanitized_product_version:",1,0,0,,,,Android,22,
1601969,2026-09-03T14:41:16.515893Z,2026-09-03T16:36:23.351598Z,en-US,thunderbird-android,Can't get out going server on cell to connect,True,1844680.0,diamondcleric,False,1844680.0,1844668;1844673;1844680;,connectivity,android;thunderbird-android;connectivity;,diamondcleric,"<p>Getting following error trying to setup my Thunderbird email on my cell phone. </p><p>Server returned <a href=""http://p-input003.msg.pkvw.co.charter.net"" rel=""nofollow"">p-input003.msg.pkvw.co.charter.net</a> connection rejected see <a href=""http://www.spamhaus.org/query/ip/18.88.32.140"" rel=""nofollow"">www.spamhaus.org/query/ip/18.88.32.140</a> aup#out-1230 </p><p>I have spent over an hour with Spectrum and all my server settings are correct. Incoming server connects.  </p><p>Spamhaus says not block listing for 18.88.32.140 but I can't connect to see why Thunderbird is trying to connect to this site. Spectrum has nothing in their files on this site. </p><p>How do I get Thunderbird to go to Spectrum servers instead of this site? </p><p>BTW my Gmail account works but I could not get Samsung email to configure either but it didn't give any errors just failed to connect.  </p><p>HELP!!!!!!!!!!!!!!!!!!!! PLEASE !!!!!!!!!!!!!!!!!!!!!!!!! frustrated senior citizen </p>",diamondcleric;platform34;,False,False,False,;solver_id:6299286;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0;tb_version:version 22.0;os:android;sanitized_product_version:,3,0,0,,,,android,version 22.0,
1601974,2026-09-03T15:10:34.919103Z,2026-09-03T15:10:34.919113Z,en-US,thunderbird-android,Push notifications delayed when inboxes are unified.,False,,,False,,,connectivity,android;thunderbird-android;connectivity;,mhdsd78,"<p>Hi, When my inboxes are unified I see notifications get delay, and When I turned them back to individual inbox view I see notifications delivered at standard interval.. </p><p>I'm on Android, simply configured Gmail and outlook for Thunderbird.. Sometimes i get delayed notifications - don't know why ?? </p><p>Sometimes say Microsoft incoming server fetched failed - like that similar it says... </p><p>How can I get the notifications at right time.. What would be the settings i should make.. </p><p>Lately I found that each folder should be configured like [sync to be off] [push to be enable].. I've done that... What else in that menu we should make on/off . [attached screenshot] </p><p>I just thiught to have email notification delivered on right time. </p>",mhdsd78;,False,False,False,;useragent:Mozilla/5.0 (Android 16; Mobile; rv:152.0) Gecko/152.0 Firefox/152.0;tb_version:22.0;os:Android;sanitized_product_version:,0,0,0,,,,Android,22.0,
1602040,2026-09-03T20:57:09.150339Z,2026-09-04T11:47:09.582235Z,en-US,thunderbird-android,Show remote images automatically,True,1844966.0,platform34,False,1844966.0,1844804;1844927;1844966;,customization,android;customization;thunderbird-android;,nickatherton1,"<p>Hi all I'm banging my head against a brick wall trying to get the app to automatically show remote images. A google search says go to Account settings &gt; Reading mail but this isn't an option in the android app, there is only General Settings and no Reading mail. How can i get my emails to display properly automatically ? </p><p>Thanks all, Nick </p>",nickatherton1;platform34;,False,False,False,";solver_id:7902177;useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36;tb_version:22.0;os:Android;sanitized_product_version:",3,0,0,,,,Android,22.0,
1602107,2026-09-04T04:53:48.088961Z,2026-09-04T12:31:29.093485Z,en-US,thunderbird-android,What is the email asking me to do??,False,,,False,1844970.0,1844970;,accessibility,accessibility;thunderbird-android;,AnalogAlien,<p>Rapid emails telling me to use this code but not what to change very frustrating </p>,AnalogAlien;platform34;,False,False,False,";useragent:Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/154.1 Mobile/15E148 Safari/604.1;ff_version:154.1;os:iOS;sanitized_product_version:",1,0,0,,,,iOS,,154.1
1602183,2026-09-04T14:36:46.082611Z,2026-09-04T14:36:46.082615Z,en-US,thunderbird-android,All emails are empty,False,,,False,,,send-and-receive-email,thunderbird-android;send-and-receive-email;,eugenstoie,"<p>I use thunderbird and see emails and content in preview line, but when I open the mail it is empty I don't see anything.  All emails are the same. I erase Cache and Clear Data from the App Storage. After that all email are fine but when I receve a nea one is the same: empty. Thunderbird 22.0 on Samsung Galaxy A56G, Android Version 16. </p>",eugenstoie;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:155.0) Gecko/20100101 Firefox/155.0;tb_version:22.0;sanitized_product_version:,0,1,1,,,,,22.0,
1602435,2026-09-06T02:05:12.866984Z,2026-09-06T02:05:12.866995Z,en-US,thunderbird-android,incoming emails don't display in Inbox on android,False,,,False,,,send-and-receive-email,thunderbird-android;send-and-receive-email;,maria52,<p>I have just downloaded Thunderbird on my Samsung mobile. Incoming emails are not displaying in Inbox. I have tried turning sync off and push on and it still won't work. The only way is to manually sync </p>,maria52;,False,False,False,";useragent:Mozilla/5.0 (Android 14; Mobile; rv:155.0) Gecko/155.0 Firefox/155.0;tb_version:22;os:Android Mozilla;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/configure-push-email-thunderbird-android"", ""/en-US/kb/getting-started-thunderbird-android"", ""/en-US/kb/getting-started-thunderbird-pro"", ""/en-US/kb/gmail-thunderbird-android""]",0,0,0,,,,Android Mozilla,22.0,
1602568,2026-09-06T20:57:36.738317Z,2026-09-11T17:50:52.695933Z,en-US,thunderbird-android,Lost email moved from spam,False,,,False,1846862.0,1845716;1845911;1846567;1846862;,junk-mail-and-spam,thunderbird-android;junk-mail-and-spam;,lucky67,"<p>I had an email in my hotmail spam folder. I moved it to the inbox and it disappeared!   Possible causes of a problem  1. The email came from a private email domain  eg  <a href=""mailto:info@companyname.com"" rel=""nofollow"">info@companyname.com</a>. It is a small company which uses outlook, a previous email also ended up in my spam even though it is genuine, (And I know from experience that kind of email address can cause problems in my setup)  2. Both emails had an attachment - the first one I moved using thunderbird desktop, not android, directly to the inbox of another email account with no problem.  3. All email to my hotmail automatically gets forwarded onto a gmail account (not leaving a copy in hotmail). However if I mark an email as not spam/move to inbox in thunderbird (desktop) it doesn't get forwarded on, stays in the hotmail inbox.   </p><p>I have just moved another message (telling me I'd signed in here) from my spam to inbox using thunderbird android and it has appeared in my hotmail inbox - so I suspect the attachment might be the issue?  </p><p>Any advice of how I can get it back?  (and also what exactly caused the issue) I have searched both email accounts (including trash and spam and all mail) and it isn't appearing anywhere... searched/looked in thunderbird desktop and both email accounts online and it has gone ... Thanks </p>",lucky67;platform34;,False,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64; rv:154.0) Gecko/20100101 Firefox/154.0;tb_version:22.0;os:LineageOS version 23.2 /Android 16;sanitized_product_version:;kb_visits_prior:[""/en-US/kb/thundermail-and-thunderbird-android""]",4,0,0,,,,LineageOS version 23.2 /Android 16,22.0,
1602926,2026-09-08T17:34:53.032373Z,2026-09-08T17:34:53.032379Z,en-US,thunderbird-android,what's your name,False,,,True,,,accounts,accounts;thunderbird-android;,martinnicass92,<p>martin </p>,martinnicass92;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;tb_version:R.4;os:r.4;sanitized_product_version:",0,0,0,,,,r.4,R.4,
