id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1552011,2025-12-02 07:35:03 -0800,2025-12-03 15:13:09 -0800,en-US,thunderbird-android,thunderbird andriod,False,,,False,1783679.0,1783452;1783566;1783577;1783594;1783595;1783679;,send-and-receive-email,thunderbird-android;send-and-receive-email;,lukass53450,"<p>Hello, I'm having a problem with emails on my computer and phone. Even though I have the ""Don't delete messages from the server"" setting, my messages aren't synchronized between my phone and computer. If a message is downloaded to my phone, it doesn't appear on my computer. What should I configure to prevent this from happening? </p>",lukass53450;platform34;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36;os:windows 11 andriod 16 one UI 8;kb_visits_prior:[""/pl/kb/konfiguracja-push-w-thunderbirdzie-dla-androida"", ""/pl/kb/thunderbird-android-import-ustawien""]",6,0,0,,,
1552044,2025-12-02 09:55:37 -0800,2025-12-03 00:49:45 -0800,en-US,thunderbird-android,Cannot send mail using a German t-online.de account,True,1783451.0,platform34,False,1783505.0,1783451;1783505;,send-and-receive-email,thunderbird-android;send-and-receive-email;,tamo208,"<p>Hello, </p><p>I imported my email accounts from Thunderbird for desktops into Thunderbird for Android. Everything works as expected with my own mail servers, i.e., I can send and receive emails. However, when I try to send an email to <a href=""http://t-online.de"" rel=""nofollow"">t-online.de</a>, Thunderbird refuses to do so. The email remains in the outbox indefinitely, and then I receive an error message stating that the maximum number of retries has been reached. However, I do not receive an error message. The email simply remains in the outbox. I deleted the account and added it again, but the behavior remains the same. </p><p>What's strange is that it works without any problems with K9 Mail. Both sending and receiving emails works fine here.  What could be the reason for this? </p><p>I am using the stable releases of Thunderbird 14.0 and K9 Mail 14.0. </p>",tamo208;platform34;,False,False,False,";useragent:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0;os:Anr8oid 16 / OneUI 8.0;kb_visits_prior:[""/en-US/kb/gmail-thunderbird-android""];solver_id:7228201",2,0,0,,,
1552115,2025-12-02 17:28:07 -0800,2025-12-03 08:12:01 -0800,en-US,thunderbird-android,Getting Multiple Mails,True,1783584.0,platform34,False,1783584.0,1783470;1783584;,send-and-receive-email,firefox-1450;android;thunderbird-android;send-and-receive-email;,foenicxxx,<p>For the past 2 months I've been using this Thunderbird android app. I don't understand why I keep getting multiple mails being received in my inbox of gmail and Yahoo accounts. </p><p>I request you to kindly look into this matter.  </p><p>Rest all good with the email client. </p>,foenicxxx;platform34;,False,False,False,;useragent:Mozilla/5.0 (Android 13; Mobile; rv:145.0) Gecko/145.0 Firefox/145.0;ff_version:145.0;os:Android;solver_id:7063154,2,0,0,,,
1552145,2025-12-02 22:17:58 -0800,2025-12-03 05:07:14 -0800,en-US,thunderbird-android,Problems with Android app,True,1783549.0,platform34,False,1783549.0,1783549;,connectivity,android;thunderbird-android;connectivity;,A.dee,"<p>Hi there, I recently switched to thunderbird and it's been working great on Windows desktop but try as I may I can get it to work on android. I followed the prompts to export the settings and that all seemed to work but the app won't connect to the incoming and outgoing servers. I've checked and the details are the same as the desktop (via Bridge) but it just says failed to connect every time. </p><p>I'm also only showing an outbox and no other folders in the app. I searched the forum and found others with this issue but no solutions. Is this a dead end and I'm better off going back to Outlook or is there a solution to this? </p><p>Thanks in advance 😊 </p>",A.dee;platform34;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36;os:Android;solver_id:7229489",1,0,0,,,
1552157,2025-12-03 01:32:32 -0800,2025-12-03 12:53:21 -0800,en-US,thunderbird-android,cancel my subscription,False,,,False,1783647.0,1783647;,accounts,thunderbird-android;accounts;,samuel.pereira,"<p>Hello, </p><p>I want to cancel my subscription. </p><p>Regards </p><p>Samuel </p>",samuel.pereira;James;,False,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1,0,0,,,
1552338,2025-12-03 16:52:27 -0800,2025-12-03 17:57:01 -0800,en-US,thunderbird-android,"how to change password , my account mail , under thunderbird android?",False,,,False,1783690.0,1783690;,passwords-and-sign-in,thunderbird-android;passwords-and-sign-in;,marcoridge1,"<p>my password. I did it and now I have to update my various programs and apps to the new password to access my emails, but the Thunderbird mail program that runs on my smartphone (Redmi Note 13) doesn't allow me to change my password. It almost seems like I have to delete the account and add it again from scratch. Is it absolutely necessary or is there an alternative system? </p>",marcoridge1;platform34;,False,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0;os:android smartphone,1,0,3,,,
1552409,2025-12-04 03:57:36 -0800,2025-12-04 03:57:36 -0800,en-US,thunderbird-android,Slow Loading Times in Unified Folder,False,,,False,,,crashing-and-slow-performance,thunderbird-android;crashing-and-slow-performance;,acoombs46,<p>I use the Unified Inbox feature and generally keep the Unread filter on unless I'm looking or searching for a specific message. Opening the app or reloading the Inbox takes up to 15-sec to go from a blank screen to showing the messages. I do have all the inboxes indexed on the device but the issue was observed with the standard 25 message limit as well. I have not had similar delays or have been met with a blank screen every time an email app is opened. Is there an ability to speed up the initial and subsequent loading times? It does hamper workflows and skews the perception of the app towards being inefficient or otherwise less than capable compared to similar apps. </p>,acoombs46;,False,False,False,;useragent:Mozilla/5.0 (Android 16; Mobile; rv:145.0) Gecko/145.0 Firefox/145.0;os:Android 16,0,0,0,,,
1552461,2025-12-04 07:56:56 -0800,2025-12-04 13:08:18 -0800,en-US,thunderbird-android,"Invalid correspondent name in ""SENT"" folder - Thunderbird installed on Android",True,1783873.0,platform34,False,1783873.0,1783797;1783800;1783873;,contacts,thunderbird-android;contacts;,raymondrancourt,"<p>I have been using Thunderbird as my mail service for many years, using it on the PC and my smartphone. Since several weeks ago, for an unknown reason, the ""SENT"" folder on the smartphone shows all the messages which were sent, but not with the correct name of the person/organization to who the email was sent. All my messages in the ""SENT"" folder are recorded as having been sent to ""Lucie Payant"" with a picture of her avatar, instead of showing the name of the real correspondent. </p><p>However, the ""SENT"" folder on my PC is fine and shows the correct correspondent to whom the email was sent to. </p><p>I verified all my settings, and, as far as I know, everything seems correct on my cell. This situation is very annoying and confusing. </p><p>Can you help me please. Raymond </p>",raymondrancourt;platform34;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36;solver_id:7231982",3,0,0,,,
1552585,2025-12-04 21:10:04 -0800,2025-12-04 21:10:04 -0800,en-US,thunderbird-android,PCの設定をスマホにエキスポート,False,,,True,,,settings,thunderbird-android;settings;,harumaru3gou,<p>PCの設定をスマホにエキスポートしたいのですが スマホ側がQRコードを読み込む要求が出る </p>,harumaru3gou;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0;kb_visits_prior:[""/en-US/kb/new-thunderbird-android""]",0,0,0,,,
1552828,2025-12-06 03:40:56 -0800,2025-12-07 02:41:27 -0800,en-US,thunderbird-android,Unified Sent Mail Box Android,False,,,False,1784392.0,1784392;,accessibility,thunderbird-android;accessibility;,ghpontin,"<p>How do I set up a Unified Sent Mail, Incomig set up as Unified OK. </p>",ghpontin;platform34;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",1,0,1,,,
