id,created,created_date,locale,topic,tags,creator,title,question_url,os,os_raw,macos_release,tb_version,tb_version_major,mail_provider,protocol,av,num_answers,is_answered,first_answer_hours,is_solved,solved_by
1544296,2025-10-31 19:19:28 -0700,2025-11-01,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,jidanni,How to send under different names?,https://support.mozilla.org/questions/1544296,,,,,,,,,1,true,1.74,True,platform34
1544858,2025-11-04 03:27:28 -0800,2025-11-04,en-US,crashing-and-slow-performance,android;thunderbird-android;crashing-and-slow-performance;,mopilu,emails I'm gemeinsamen Posteingang,https://support.mozilla.org/questions/1544858,,,,,,,,,0,false,,False,
1545164,2025-11-05 18:19:34 -0800,2025-11-06,en-US,email-and-messaging,android;thunderbird-android;email-and-messaging;,balrick532,Making a email,https://support.mozilla.org/questions/1545164,,,,,,,,,1,true,22.73,False,
1545171,2025-11-05 19:51:17 -0800,2025-11-06,en-US,customization,android;thunderbird-android;customization;,lcedghill,App switches between two layouts,https://support.mozilla.org/questions/1545171,,,,,,m:gmail,,,1,true,3.55,True,platform34
1545249,2025-11-06 04:50:13 -0800,2025-11-06,en-US,email-and-messaging,android;thunderbird-android;email-and-messaging;,tobias.r1999.tr,Folder,https://support.mozilla.org/questions/1545249,,,,,,,,,1,true,11.72,False,
1545315,2025-11-06 10:39:22 -0800,2025-11-06,it,account-management,firefox-1440;android;thunderbird-android;account-management;,antocesaria1777,Deleting account from thunderbird android deleted al my emails from server,https://support.mozilla.org/questions/1545315,,,,,,,,,0,false,,False,
1545339,2025-11-06 13:58:29 -0800,2025-11-06,en-US,email-and-messaging,android;thunderbird-android;email-and-messaging;,franceskin.urban,No folder available on thunderbird mobile,https://support.mozilla.org/questions/1545339,,,,,,m:gmail,,,1,true,1.71,False,
1545507,2025-11-07 12:11:06 -0800,2025-11-07,en-US,import-and-export-settings,android;thunderbird-android;import-and-export-settings;,wrnyng,Filters,https://support.mozilla.org/questions/1545507,,,,,,,,,1,true,0.52,False,
1545850,2025-11-09 15:01:42 -0800,2025-11-09,en-US,account-management,android;thunderbird-android;account-management;,sfbillm,How do I see my account settings in Thunderbird for Android?,https://support.mozilla.org/questions/1545850,,,,,,,,,1,true,1.38,False,
1545924,2025-11-10 03:39:04 -0800,2025-11-10,en-US,email-and-messaging,android;thunderbird-android;email-and-messaging;,tony.muehlebach,mails in inbox disapper,https://support.mozilla.org/questions/1545924,,,,,,,,,0,false,,False,
1545933,2025-11-10 04:30:04 -0800,2025-11-10,en-US,accessibility,thunderbird-android;accessibility;,AEdw,Missing mail in Sent folder in mobile app,https://support.mozilla.org/questions/1545933,os:windows,,,,,,,,4,true,10.7,False,
1545975,2025-11-10 09:38:55 -0800,2025-11-10,en-US,customization,android;thunderbird-android;customization;,mandarinoriental,Inbox Zero,https://support.mozilla.org/questions/1545975,,,,,,,,,2,true,5.79,False,
1546017,2025-11-10 13:11:48 -0800,2025-11-10,en-US,languages,thunderbird-android;languages;,janerik.sjogren,Thunderbird,https://support.mozilla.org/questions/1546017,,,,,,,,,2,true,27.56,False,
1546255,2025-11-11 01:40:20 -0800,2025-11-11,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,jidanni,Mystery who I am sending as,https://support.mozilla.org/questions/1546255,,,,,,,,,4,true,14.74,False,
1546927,2025-11-12 00:15:27 -0800,2025-11-12,en-US,send-and-receive-email,thunderbird-android;send-and-receive-email;,Ulrich.Marx65,Empfang und Senden von E-Mails,https://support.mozilla.org/questions/1546927,,,,,,,,,0,false,,False,
1546960,2025-11-12 02:22:54 -0800,2025-11-12,en-US,junk-mail-and-spam,android;thunderbird-android;junk-mail-and-spam;,AEdw,Spam / Spellcheck,https://support.mozilla.org/questions/1546960,,,,,,,,,0,false,,False,
1547374,2025-11-13 00:29:18 -0800,2025-11-13,en-US,contacts,android;thunderbird-android;contacts;,tamarana22,Address book,https://support.mozilla.org/questions/1547374,,,,,,,,,4,true,0.71,True,platform34
1547407,2025-11-13 02:37:04 -0800,2025-11-13,en-US,email-and-messaging,thunderbird-android;email-and-messaging;,brentseanwilliams,can't I view my sent emails on Android,https://support.mozilla.org/questions/1547407,,,,,,,,,0,false,,False,
1547468,2025-11-13 06:06:30 -0800,2025-11-13,en-US,accessibility,thunderbird-android;accessibility;,virginiaflake11,SMPT din't work on Thunderbird mobile,https://support.mozilla.org/questions/1547468,,,,,,,,,1,true,80.64,False,
1548045,2025-11-15 01:32:14 -0800,2025-11-15,en-US,customization,thunderbird-android;customization;,ionutluciancoman1985,Garmin watch and Thunderbird for Android watch options,https://support.mozilla.org/questions/1548045,,,,,,m:gmail;m:yahooemail,,,3,true,97.07,False,
1548298,2025-11-16 04:24:40 -0800,2025-11-16,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,basswong,Transfering desktop Thunderbird email a/c to Android Thunderbird app problem,https://support.mozilla.org/questions/1548298,,,,,,,,,1,true,9.0,False,
1548426,2025-11-16 13:29:41 -0800,2025-11-16,en-US,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,re777,Thunderbird Emails stuck in Outbox,https://support.mozilla.org/questions/1548426,,,,,,,,,0,false,,False,
1548980,2025-11-18 12:20:39 -0800,2025-11-18,en-US,customization,thunderbird-android;customization;,whitedavidp,"When changing accounts, can't the invox just be shown for the new account immediately?",https://support.mozilla.org/questions/1548980,,,,,,,,,10,true,7.86,False,
1549116,2025-11-19 01:15:35 -0800,2025-11-19,en-US,import-and-export-email,thunderbird-android;import-and-export-email;,moz17,Thunderbird for Android - Local Folders copy from desktop ?,https://support.mozilla.org/questions/1549116,,,,,,,,,2,true,2.09,False,
1549175,2025-11-19 06:07:46 -0800,2025-11-19,en-US,contacts,android;thunderbird-android;contacts;,spam51,contacts (carddav),https://support.mozilla.org/questions/1549175,,,,,,,proto:imap;proto:smtp;proto:carddav,,1,true,1.15,False,
1549254,2025-11-19 12:22:05 -0800,2025-11-19,en-US,performance-and-connectivity,thunderbird-android;performance-and-connectivity;,adrian51,I have Thunderbird Android and it changed to Apple,https://support.mozilla.org/questions/1549254,,,,,,,,,0,false,,False,
1549261,2025-11-19 12:50:24 -0800,2025-11-19,en-US,customization,android;thunderbird-android;customization;,jidanni,Move the number away from the date,https://support.mozilla.org/questions/1549261,,,,,,,,,0,false,,False,
1549654,2025-11-21 07:37:34 -0800,2025-11-21,en-US,customization,android;thunderbird-android;customization;,AEdw,Tbird folder sort,https://support.mozilla.org/questions/1549654,,,,,,,,,0,false,,False,
1549806,2025-11-22 00:39:07 -0800,2025-11-22,en-US,account-management,thunderbird-android;account-management;,90.malvaux,Ajouter un compte dans ma messagerie thunderbird,https://support.mozilla.org/questions/1549806,,,,,,,,,1,true,1.47,False,
